"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KO:K00001",85.7202706351212,-0.0630424349061567,0.851271652947457,-0.0740567769264695,0.940965207789759,1
"KO:K00002",1.28814899271557,0,5.33062359050701,0,1,1
"KO:K00003",356.903898973736,3.33030174776517,1.08961817640115,3.0563933494251,0.00224017159357847,0.0938400688874882
"KO:K00004",2.05202084985564,-1.6987520143632,2.75233828867472,-0.61720320549011,0.537100701681815,1
"KO:K00005",0.2951152538905,0,5.3306245743724,0,1,NA
"KO:K00006",2.12346025441502,0,5.30875245574594,0,1,1
"KO:K00007",0.0826935429112074,0,5.32980791356295,0,1,NA
"KO:K00008",100.071109463848,0.746257426030374,0.741110926327454,1.00694430417916,0.313961539783721,1
"KO:K00009",20.7478337333586,-0.0536468772569989,2.24504695019374,-0.0238956593991807,0.980935836593402,1
"KO:K00010",14.9474212622912,-0.273545503410476,1.51815187988857,-0.180183226088389,0.857008726554572,1
"KO:K00011",0.267800681574491,2.54842917249382,5.30185283459982,0.480667655628389,0.630752722544252,NA
"KO:K00012",297.513590234236,-0.113585949523932,0.415037525860811,-0.27367633634657,0.784333364559902,1
"KO:K00013",78.3177608320549,-0.176676258649405,0.923344168631063,-0.191343883084617,0.848256182447561,1
"KO:K00014",58.9234561496719,-0.746536466732214,1.17831000152292,-0.633565416373741,0.52636447656361,1
"KO:K00015",39.8856381141648,-1.26537245646416,1.21293499258732,-1.04323188315722,0.296840910302761,1
"KO:K00016",9.60812191046227,-3.09529294555754,1.05547493136884,-2.93260678540539,0.00336129307567958,0.130338252480023
"KO:K00018",5.13578447411498,-1.03465176430283,1.35335551977323,-0.764508474813919,0.444564288272175,1
"KO:K00019",81.6784980249159,-0.308790421936479,0.648423064284479,-0.47621751745864,0.63391942085214,1
"KO:K00020",77.7217140515227,-1.16071370208654,0.743677287292008,-1.56077605423868,0.118576599235707,1
"KO:K00021",11.9941253812768,-1.89923506312659,2.14021495162789,-0.887403885148075,0.374861492530923,1
"KO:K00022",0.482493481129889,-3.0178302914877,5.27000866914394,-0.572642377071824,0.566886860535952,NA
"KO:K00023",200.889167966096,-0.282746050937899,0.684043829420525,-0.413344933141816,0.679353913613357,1
"KO:K00024",887.060286824719,-0.332635509017073,0.821134352448889,-0.405092672137081,0.685409392690518,1
"KO:K00025",0.831590040695327,-18.9620372348763,5.28740948176709,-3.58626228974024,0.000335451564967539,0.0254805332567809
"KO:K00026",31.082102649265,-0.308814194616234,2.5479290956948,-0.121202036248981,0.903531011315786,1
"KO:K00027",212.452804566618,0.603789261140905,0.877800066406196,0.687843717776054,0.491551202339503,1
"KO:K00029",163.562028164057,-1.29317474822307,0.689723038373624,-1.8749188823276,0.060803883944391,0.773302078410426
"KO:K00030",59.761988786761,-0.748424583556168,0.824002213649501,-0.90827982153276,0.363730400724037,1
"KO:K00031",707.017193731905,-0.0605135281769671,0.412362084761035,-0.146748526145499,0.883330514870891,1
"KO:K00032",0.429913699604996,0,5.32854437840848,0,1,NA
"KO:K00033",133.529266237548,-0.495148881049757,0.67251006744306,-0.736269841925719,0.461566495742125,1
"KO:K00034",88.6746892274455,-0.979718282575091,1.07784080425126,-0.908963808672718,0.363369229930504,1
"KO:K00035",1.26200159482356,3.43069165450099,5.30460320601146,0.646738600657848,0.517801136121999,1
"KO:K00036",249.383542179233,-0.505527441394938,0.448999003202786,-1.1258988055406,0.260208355014129,1
"KO:K00038",5.91160289295975,-0.704166339731204,1.64468017819614,-0.428147884960541,0.668543455914073,1
"KO:K00039",1.03922663615954,3.41344329262007,5.30634713078638,0.643275535596973,0.520045327681594,1
"KO:K00040",0.3579078229627,-1.54906962969989,5.29271955938643,-0.292679332868238,0.769767268465028,NA
"KO:K00041",0.407751278747512,2.62703143632479,5.32040133670276,0.493765652264281,0.621471693286942,NA
"KO:K00042",36.7506970926441,-1.5099207416962,1.26473220195007,-1.19386597365678,0.232530399525741,1
"KO:K00045",9.91965752307866,-4.75680630720151,3.69117899085284,-1.28869564954434,0.197503915532302,1
"KO:K00046",20.4272318792699,-1.16609577923158,1.28063520939293,-0.910560455216867,0.362527014481222,1
"KO:K00048",0.0359136750113027,-0.426624108938996,5.31347296761035,-0.0802910095787808,0.936005808446489,NA
"KO:K00050",19.6889292806425,-0.304459796117004,1.01119066176554,-0.30109039534188,0.763345564813867,1
"KO:K00052",184.704596099065,-0.310814340006409,0.485329436928671,-0.640419303583454,0.521900036422715,1
"KO:K00053",809.799804492025,-0.671494981378987,0.45415434708979,-1.47856116688502,0.139257637932323,1
"KO:K00054",14.0852868844262,-0.801727920611096,1.35106929222855,-0.593402518451641,0.552911803853798,1
"KO:K00055",27.0741030779121,2.553369601267,1.45904274338657,1.75003070529681,0.0801130155286188,0.878876918950841
"KO:K00057",4578.88197325356,-0.817103069356579,1.22288319724817,-0.668177526026433,0.504020279414552,1
"KO:K00058",234.25184963923,-0.337173784858445,0.631594355905878,-0.5338454685442,0.593448452859078,1
"KO:K00059",1003.43327675539,0.0424377991909429,0.401990691260736,0.10556910921954,0.91592423502611,1
"KO:K00060",13.7212164138022,-0.950435839534245,0.871202035904986,-1.09094767960104,0.275295905343944,1
"KO:K00064",4.72864048464404,0.456069729471678,1.83755942601039,0.248193186580024,0.803984937782939,1
"KO:K00065",26.746253226517,0.277826301288429,1.11426868064554,0.249335107514172,0.803101576784129,1
"KO:K00066",138.905159097603,0.200193850343383,0.638969370459092,0.313307428491519,0.754047106931167,1
"KO:K00067",64.1930186754463,-0.209852744671075,1.09487514063134,-0.191668197480552,0.848002118813224,1
"KO:K00068",0.0395148464572519,-1.08999493594185,5.30666668118975,-0.205401055205803,0.837258795917281,NA
"KO:K00069",0.0826904714929994,0,5.32289647177757,0,1,NA
"KO:K00073",0.398585280599318,-4.06599314950959,5.25967801877743,-0.773049820729273,0.439492896395376,NA
"KO:K00074",163.084299583619,-0.0456084811270662,0.538599070242827,-0.0846798363511909,0.932515926640754,1
"KO:K00075",46.0501142341683,-0.939087422662138,0.980496776521351,-0.957766965837331,0.338180280297849,1
"KO:K00076",2.69882078159227,0.68390963612581,2.84818698987382,0.240121044916405,0.810236419926109,1
"KO:K00077",86.0787696629917,-0.496298076656436,0.796121540623212,-0.623394860372612,0.533025074607218,1
"KO:K00079",0.129992163070775,-0.413092287232245,5.31550743754138,-0.0777145535183967,0.938055117086294,NA
"KO:K00082",0.377019217380168,0,5.33063980249945,0,1,NA
"KO:K00083",1.15766660090199,0,5.31646084623034,0,1,1
"KO:K00086",1.07412888903547,2.81292021111139,4.20815937787986,0.668444314608776,0.503850016223771,1
"KO:K00087",241.383630106297,-0.713476467716834,1.18816360556015,-0.600486721170416,0.548181907934924,1
"KO:K00088",785.640512034938,-0.491478213151167,0.490336079673771,-1.0023292870436,0.316184582145691,1
"KO:K00090",2.15043292776288,-5.04208853955907,2.665731818614,-1.89144628291251,0.058564795242616,0.757729417205422
"KO:K00091",80.386170281206,2.73091704850989,1.28966952205512,2.11753243897562,0.0342146852138268,0.589690171166224
"KO:K00096",11.3866234841227,4.5946871136711,2.73215507355832,1.68170802533805,0.0926254710659189,0.932400010728986
"KO:K00097",51.4410365160236,0.339193923051135,0.905826997148956,0.374457732126256,0.708063797784368,1
"KO:K00098",0.787920921554113,-1.00171178220076,5.2060031869147,-0.192414746252665,0.847417342378834,1
"KO:K00099",204.265160737119,-0.261030940082454,0.85835235235243,-0.304106978174014,0.761046390651754,1
"KO:K00100",153.723976941927,0.724466154374689,0.513090474211453,1.41196570738931,0.157960058711569,1
"KO:K00101",32.2993605285266,-0.911221487399356,1.11870979247447,-0.814528927456541,0.415342007372483,1
"KO:K00102",64.7379116236319,-0.255056109923614,0.954729642944656,-0.267150089879842,0.789353602414117,1
"KO:K00103",1.50572379498198,-5.15363363741919,5.24132041594244,-0.983270097692074,0.325474522955195,1
"KO:K00104",105.938008213138,-0.295341920667986,0.696651733792529,-0.423944858444783,0.671606028123723,1
