"","KO","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Activity","VOC","VOC_alt","gene_name","Priority","Significance","datExpr"
"1","K00004",2.05202084985564,0.179052841121453,2.67694259263089,0.0668870679611699,0.94667160825424,NA,"consume","Diacetyl","Diacetyl","BDH","yes",NA,"K00004"
"2","K00156",211.435890536601,1.90937219435959,1.25753997782941,1.5183391606009,0.128928920329242,0.42348106247438,"produce","Acetate","Acetate","poxB","yes",NA,"K00156"
"3","K00158",187.651868403795,1.84623017869171,1.32750910901547,1.3907476537475,0.16430196157288,0.476381056785719,"produce","Acetate","Acetate","poxL","yes",NA,"K00158"
"4","K00925",75.0399757595876,-1.59021289976473,0.994116782466183,-1.59962383475689,0.109682057640202,0.390480391598854,"consume","Acetate","Acetate","ackA","yes",NA,"K00925"
"5","K01026",9.37508278686748,-0.940360253714618,1.63416665638131,-0.575437180805628,0.564995664449426,0.829129882643229,"produce","Acetate","Acetate","pct","yes",NA,"K01026"
"6","K01067",18.7497412456074,1.35957625687257,2.19384574330013,0.619722813704945,0.535440293182486,0.813393654788545,"produce","Acetate","Acetate","ACH1","yes",NA,"K01067"
"7","K01512",65.2108028287438,-0.65530446554057,1.22270121306942,-0.535948160135969,0.591994378601196,0.834694028588931,"produce","Acetate","Acetate","acyP","yes",NA,"K01512"
"8","K01574",5.50430207293495,1.83746286115188,1.63755313737267,1.12207831258529,0.26182914411062,0.595670247624335,"produce","Acetone","Acetone","adc","yes",NA,"K01574"
"9","K01652",1210.26305902684,-0.422490195491451,0.341761275040274,-1.23621435881425,0.216378894751594,0.539745820837329,"produce","Diacetyl","Diacetyl","ilvB","yes",NA,"K01652"
"10","K01895",729.514087394543,-0.249673821716346,0.497011466462439,-0.502350224419248,0.615421185863137,0.844435678878298,"consume","Acetate","Acetate","acs","yes",NA,"K01895"
"11","K03366",12.1644858228611,-0.103150292476615,1.32642478620156,-0.0777656551277235,0.938014466922078,0.979165456931649,"consume","Diacetyl","Diacetyl","butA","yes",NA,"K03366"
"12","K10854",179.904253313819,-2.4144088458892,3.338898750898,-0.723115322152205,0.46960903653867,0.774905624007655,"consume","Acetone","Acetone","acxB","yes",NA,"K10854"
"13","K10855",40.2807320038094,-1.25524311677413,2.38623697409531,-0.526034560021024,0.598864194844127,0.837298426776646,"consume","Acetone","Acetone","acxA","yes",NA,"K10855"
"14","K10856",23.8790653252539,-2.16833413752924,2.4806320168882,-0.874105519386663,0.382060791994653,0.709592105708478,"consume","Acetone","Acetone","acxC","yes",NA,"K10856"
"15","K18118",58.5022754502293,0.0453292367533914,1.47877034735965,0.0306533308801648,0.975546010217089,0.995412983652816,"produce","Acetate","Acetate","aarC","yes",NA,"K18118"
"16","K18371",14.7701106871758,-0.293391296853668,2.28347111506367,-0.128484785692368,0.897765337686815,0.973547719556537,"consume","Acetone","Acetone","acmA","yes",NA,"K18371"
"17","K18372",1.32921983238291,-2.81134502376498,4.30338419144506,-0.65328701754164,0.513571260398461,NA,"consume","Acetone","Acetone","acmB","yes",NA,"K18372"
"18","K18382",14.6592713541268,2.08332698972964,1.48625167852052,1.40173230404925,0.160995200267555,0.471988998482012,"consume","Acetone","Acetone","ald1","yes",NA,"K18382"
