"","KO","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Activity","VOC","VOC_alt","gene_name","Priority","Significance","datExpr"
"1","K00004",2.05202084985564,1.64785675143366,2.7208017071437,0.605651175205849,0.54474641212995,NA,"consume","Diacetyl","Diacetyl","BDH","yes",NA,"K00004"
"2","K00156",211.435890536601,-1.4657539685461,1.25646779677862,-1.16656707979628,0.243385244319837,0.592641466611967,"produce","Acetate","Acetate","poxB","yes",NA,"K00156"
"3","K00158",187.651868403795,-1.47134156906141,1.32644321254897,-1.10923826601969,0.267327408868201,0.610561662490313,"produce","Acetate","Acetate","poxL","yes",NA,"K00158"
"4","K00925",75.0399757595876,-0.0679818864241523,0.995523083037686,-0.0682876043584202,0.945556691384183,0.999580695803761,"consume","Acetate","Acetate","ackA","yes",NA,"K00925"
"5","K01026",9.37508278686748,0.808517319106529,1.72317708462314,0.469201526831673,0.638925594235959,0.873784470011436,"produce","Acetate","Acetate","pct","yes",NA,"K01026"
"6","K01067",18.7497412456074,-2.40636753406424,2.23568509626771,-1.07634457915449,0.281773178383669,0.626491471937278,"produce","Acetate","Acetate","ACH1","yes",NA,"K01067"
"7","K01512",65.2108028287438,-2.72333798847533,1.22085246984338,-2.2306855707346,0.0257019640930164,0.209645795872788,"produce","Acetate","Acetate","acyP","yes",NA,"K01512"
"8","K01574",5.50430207293495,2.02572613720125,1.8197663886043,1.11317922447997,0.265631463509188,0.610561662490313,"produce","Acetone","Acetone","adc","yes",NA,"K01574"
"9","K01652",1210.26305902684,0.455055618663382,0.343374898660263,1.32524427510241,0.185090144816003,0.538747501766734,"produce","Diacetyl","Diacetyl","ilvB","yes",NA,"K01652"
"10","K01895",729.514087394543,-0.129960910884686,0.499653741431492,-0.26010194682492,0.79478513624898,0.950706299590019,"consume","Acetate","Acetate","acs","yes",NA,"K01895"
"11","K03366",12.1644858228611,0.0573198671214936,1.28638915650781,0.0445587300168955,0.964459038640006,1,"consume","Diacetyl","Diacetyl","butA","yes",NA,"K03366"
"12","K10854",179.904253313819,23.1585403594698,3.42883778590703,6.75404956590668,1.4377459629378e-11,7.25650926722748e-09,"consume","Acetone","Acetone","acxB","yes","Sig.6","K10854"
"13","K10855",40.2807320038094,1.67332244827865,2.55103609435606,0.655938366368366,0.511863781262287,0.79771272130554,"consume","Acetone","Acetone","acxA","yes",NA,"K10855"
"14","K10856",23.8790653252539,1.81915103701147,2.60395516204046,0.698610737823142,0.484795331327905,0.783523287091258,"consume","Acetone","Acetone","acxC","yes",NA,"K10856"
"15","K18118",58.5022754502293,1.30923706997555,1.48820392865194,0.879743054543267,0.378998519823748,0.711856337340406,"produce","Acetate","Acetate","aarC","yes",NA,"K18118"
"16","K18371",14.7701106871758,15.6470576471125,2.46116191958183,6.35758969071447,2.04944011697114e-10,9.05083991657381e-08,"consume","Acetone","Acetone","acmA","yes","Sig.6","K18371"
"17","K18372",1.32921983238291,0,4.34537607392139,0,1,NA,"consume","Acetone","Acetone","acmB","yes",NA,"K18372"
"18","K18382",14.6592713541268,-0.939474185320072,1.74147685430383,-0.539469808627249,0.589562723820164,0.843839741769681,"consume","Acetone","Acetone","ald1","yes",NA,"K18382"
