"","KO","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Activity","VOC","VOC_alt","gene_name","Priority","Significance"
"1","K00004",2.05202084985564,-1.6987520143632,2.75233828867472,-0.61720320549011,0.537100701681815,1,"consume","Diacetyl","Diacetyl","BDH","yes",NA
"2","K00156",211.435890536601,5.46658366757897,1.33528766322363,4.09393707299116,4.24109458843505e-05,0.0065324637480201,"produce","Acetate","Acetate","poxB","yes","Sig.D"
"3","K00158",187.651868403795,5.5062545566028,1.41006113956389,3.90497575041733,9.42348339989376e-05,0.0113593946635676,"produce","Acetate","Acetate","poxL","yes","Sig.D"
"4","K00925",75.0399757595876,-0.78752913207251,1.03675107953282,-0.759612550803792,0.447486214717526,1,"consume","Acetate","Acetate","ackA","yes",NA
"5","K01026",9.37508278686748,-1.71614827379113,1.71988287188065,-0.99782857417178,0.318362491737579,1,"produce","Acetate","Acetate","pct","yes",NA
"6","K01067",18.7497412456074,-3.4239598075608,2.31693785188952,-1.47779527395112,0.139462583749482,1,"produce","Acetate","Acetate","ACH1","yes",NA
"7","K01512",65.2108028287438,-0.341196476660997,1.27900681394588,-0.26676673880131,0.78964876503675,1,"produce","Acetate","Acetate","acyP","yes",NA
"8","K01574",5.50430207293495,-0.891316616111332,1.73375919248039,-0.514094817767731,0.607185700399209,1,"produce","Acetone","Acetone","adc","yes",NA
"9","K01652",1210.26305902684,-0.645839087607595,0.358429572442491,-1.8018577072382,0.0715677957203104,0.843612808654228,"produce","Diacetyl","Diacetyl","ilvB","yes",NA
"10","K01895",729.514087394543,-0.750129019893106,0.522516271487522,-1.43560891942677,0.151113655264239,1,"consume","Acetate","Acetate","acs","yes",NA
"11","K03366",12.1644858228611,1.07108745666002,1.31899576353651,0.812047685269442,0.416764269913791,1,"consume","Diacetyl","Diacetyl","butA","yes",NA
"12","K10854",179.904253313819,6.13701633711326,3.54502315960592,1.73116396164686,0.0834225250177002,0.89114589464798,"consume","Acetone","Acetone","acxB","yes",NA
"13","K10855",40.2807320038094,-0.987999783852393,2.56513757576461,-0.385164442323485,0.700115585804777,1,"consume","Acetone","Acetone","acxA","yes",NA
"14","K10856",23.8790653252539,-0.300153557737879,2.64652769398182,-0.11341410045337,0.909702261293508,1,"consume","Acetone","Acetone","acxC","yes",NA
"15","K18118",58.5022754502293,1.44776164555768,1.55364885365029,0.931846113203876,0.351416059510888,1,"produce","Acetate","Acetate","aarC","yes",NA
"16","K18371",14.7701106871758,-2.30273748096174,2.43725918263724,-0.944806156590234,0.344757848166148,1,"consume","Acetone","Acetone","acmA","yes",NA
"17","K18372",1.32921983238291,-5.4739035941234,4.4865888211908,-1.2200591166878,0.222442465376403,1,"consume","Acetone","Acetone","acmB","yes",NA
"18","K18382",14.6592713541268,-2.36907284685488,1.70155570439437,-1.39229814265651,0.163832133728814,1,"consume","Acetone","Acetone","ald1","yes",NA
