"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"KO:K00001",85.7202706351212,-0.311883572749778,0.559322772294201,0.338100622520892,0.743204269944003
"KO:K00002",1.28814899271557,-0.00587261450112906,0.629985855390662,0.886454080963454,NA
"KO:K00003",356.903898973736,0.287055723852683,0.608645571834428,0.328971137208377,0.733996888055341
"KO:K00004",2.05202084985564,0.0548775839643474,0.627068748514623,0.741995703446885,NA
"KO:K00005",0.2951152538905,0.0418885828574209,0.631013312435795,0.657358482012323,NA
"KO:K00006",2.12346025441502,-0.0212631424206089,0.630334455006978,0.495527685181958,NA
"KO:K00007",0.0826935429112074,0.0321181862712133,0.630176478389481,0.812063404550926,NA
"KO:K00008",100.071109463848,0.412039903226312,0.5587711660927,0.235924307084313,0.651189336986283
"KO:K00009",20.7478337333586,0.0149674307503473,0.613770533323299,0.939306051566017,0.986708580290551
"KO:K00010",14.9474212622912,0.202104089448107,0.6334727159844,0.421231610844695,0.799020076188314
"KO:K00011",0.267800681574491,-0.0261068069217735,0.630554140904738,0.727368578975712,NA
"KO:K00012",297.513590234236,0.300265217050693,0.354714395187332,0.304950345256212,0.714100995664417
"KO:K00013",78.3177608320549,-0.0901608933308456,0.520105988578746,0.749389981271456,0.94813005948473
"KO:K00014",58.9234561496719,0.259273769177004,0.613281407027359,0.350347031576129,0.751923302883099
"KO:K00015",39.8856381141648,-0.490059102797575,0.786874346624145,0.0919465258872079,0.44839174494332
"KO:K00016",9.60812191046227,0.0168574940265848,0.537676884792069,0.97434175502196,0.997950639128848
"KO:K00018",5.13578447411498,0.539165575388284,0.932327034522206,0.0798262709233912,0.422167371975693
"KO:K00019",81.6784980249159,-0.10005779500854,0.452457229232799,0.732181153909234,0.938713425008456
"KO:K00020",77.7217140515227,0.0224481322223056,0.47471559787433,0.945383282122277,0.986708580290551
"KO:K00021",11.9941253812768,0.166371170176121,0.643003944312929,0.262287570230294,0.677117570634057
"KO:K00022",0.482493481129889,-0.0277985804419319,0.630769056202453,0.582087033892909,NA
"KO:K00023",200.889167966096,0.134894289866203,0.463794325429972,0.674018689946235,0.915626162624748
"KO:K00024",887.060286824719,-1.85575074834437,1.09045258514413,0.000759640053552062,0.020538209389051
"KO:K00025",0.831590040695327,-0.000562389284275759,0.625550731799763,0.97132565131137,NA
"KO:K00026",31.082102649265,-0.0123556104125509,0.62109686903166,0.930301186967144,0.985642069481738
"KO:K00027",212.452804566618,0.00582645421903001,0.506537689524775,0.987289799225539,0.998310707983222
"KO:K00029",163.562028164057,1.63398763357886,0.721863035426101,0.00212979979315274,0.0457969230375593
"KO:K00030",59.761988786761,-0.384674069326454,0.595844147444946,0.22385106872051,0.63890966239137
"KO:K00031",707.017193731905,0.69003176481884,0.389428428449017,0.0295265331222177,0.241264582867543
"KO:K00032",0.429913699604996,-0.0320335064764534,0.631059920535562,0.527718484164666,NA
"KO:K00033",133.529266237548,-0.842397992371966,0.653915333288596,0.0405498670002185,0.291982412291285
"KO:K00034",88.6746892274455,-0.524871520469818,0.760392777609356,0.113568331883859,0.493552364007226
"KO:K00035",1.26200159482356,-0.0104116348865615,0.628131744962332,0.784883218391705,NA
"KO:K00036",249.383542179233,-0.375087781881812,0.388144593889343,0.224965704055084,0.639944939706685
"KO:K00038",5.91160289295975,0.0525654416118062,0.594902330439286,0.805549151016888,0.968211552900746
"KO:K00039",1.03922663615954,-0.0211709287934958,0.630361702768501,0.534074944518273,NA
"KO:K00040",0.3579078229627,-0.0115115552222206,0.629726307182832,0.901147125555052,NA
"KO:K00041",0.407751278747512,0.0367210934249997,0.627738122213435,0.845832758592443,NA
"KO:K00042",36.7506970926441,-0.0891725415922318,0.568480752769664,0.709741720645195,0.928775591451453
"KO:K00045",9.91965752307866,-0.0539846165309138,0.631444765734698,0.347991680785572,0.751761836937723
"KO:K00046",20.4272318792699,-0.172686136709104,0.590386331680365,0.507304982370063,0.84567810096451
"KO:K00048",0.0359136750113027,-0.00534168387242521,0.63000384717289,0.898581837943301,NA
"KO:K00050",19.6889292806425,-0.00674907742665817,0.534230797198746,0.973087213050274,0.997556395973693
"KO:K00052",184.704596099065,-0.056209718388422,0.380435451201158,0.845833580614092,0.97312467985146
"KO:K00053",809.799804492025,0.009835205399054,0.360068091900783,0.976561950737718,0.997950639128848
"KO:K00054",14.0852868844262,0.335360917176532,0.693983830190059,0.210645731394039,0.62614741660136
"KO:K00055",27.0741030779121,0.363712955504649,0.733477644484046,0.0865702762102619,0.438934140512078
"KO:K00057",4578.88197325356,0.214944044250619,0.60842110841449,0.377692988529465,0.768979578528706
"KO:K00058",234.25184963923,-0.197581309419774,0.453787218779076,0.537057933942726,0.85814604929097
"KO:K00059",1003.43327675539,-0.220904603836002,0.338051755818198,0.426837908204108,0.799020076188314
"KO:K00060",13.7212164138022,-0.0634594170227447,0.51474056115364,0.835411472179382,0.971855594292187
"KO:K00064",4.72864048464404,-0.10986256461381,0.608833445557662,0.553207595783959,0.863388934506629
"KO:K00065",26.746253226517,-0.439183649067392,0.717802867583194,0.135127458426952,0.532576522089521
"KO:K00066",138.905159097603,-0.146359215991924,0.457021456535607,0.633520245063874,0.89934209764514
"KO:K00067",64.1930186754463,0.351311929058826,0.646510717418662,0.236048160671879,0.651189336986283
"KO:K00068",0.0395148464572519,-0.00481207567458877,0.629989538624396,0.881613572533591,NA
"KO:K00069",0.0826904714929994,-0.00514251666759393,0.629982755845754,0.889535892349362,NA
"KO:K00073",0.398585280599318,0.0449343580773112,0.630631671500781,0.778509456037516,NA
"KO:K00074",163.084299583619,0.26484377723788,0.423242252037113,0.40856511150857,0.79117649478579
"KO:K00075",46.0501142341683,0.0808694163710965,0.535896450499637,0.777828422177346,0.961174908873038
"KO:K00076",2.69882078159227,0.0258640279724339,0.618805372491681,0.860150523585009,NA
"KO:K00077",86.0787696629917,-0.176014215672667,0.504251819344635,0.568666672944764,0.870242615596842
"KO:K00079",0.129992163070775,-0.00809091173022261,0.629773585355776,0.892752815716686,NA
"KO:K00082",0.377019217380168,-0.00542379279057619,0.629971860515669,0.880049002378396,NA
"KO:K00083",1.15766660090199,-0.00614479179881983,0.630020668615063,0.898633038443821,NA
"KO:K00086",1.07412888903547,0.0506228280175755,0.630878962909522,0.708033357902393,NA
"KO:K00087",241.383630106297,-2.98890870113873,1.64735534966975,0.000274845573992333,0.0103123181180593
"KO:K00088",785.640512034938,0.215408479623192,0.388666339013854,0.492515994580389,0.838509098105878
"KO:K00090",2.15043292776288,-0.0616310232385552,0.619646626079401,0.650221482186684,NA
"KO:K00091",80.386170281206,-0.291064220265396,0.652485996922304,0.253307666275474,0.6679188179436
"KO:K00096",11.3866234841227,-0.0494613933141355,0.624982708846921,0.710731332638385,0.928789345967156
"KO:K00097",51.4410365160236,0.223860998727017,0.547654937200754,0.465462195109647,0.820402015444697
"KO:K00098",0.787920921554113,0.0288774413074184,0.629579576105941,0.800995289099327,NA
"KO:K00099",204.265160737119,0.152463918931132,0.519757196760984,0.615862777054688,0.888561147777264
"KO:K00100",153.723976941927,-0.226491272201756,0.412668930071838,0.460056588049689,0.81721163007667
"KO:K00101",32.2993605285266,0.542410541092082,0.839347262611651,0.0498273431232422,0.325896036182414
"KO:K00102",64.7379116236319,0.465211638059684,0.675143439279254,0.173025337761585,0.575877594189724
"KO:K00103",1.50572379498198,0.0346423149963659,0.630341214464116,0.734401821556133,NA
"KO:K00104",105.938008213138,-0.0780494165775977,0.46440343650369,0.797415124777257,0.96588092859063
"KO:K00106",2.07695923561038,-0.0177808200725104,0.629281437843436,0.831485157269856,NA
"KO:K00107",0.368988990586525,-0.0334827598730751,0.631214287969148,0.493269038600561,NA
"KO:K00108",116.238788439424,-0.151380986450597,0.539390459212947,0.583104466392721,0.875971440821882
"KO:K00111",120.615070288507,0.699257599848689,0.948179943458273,0.0496377663064307,0.325752484097908
"KO:K00112",0.394289069026599,0.0371657336357349,0.630730508908913,0.695918158896858,NA
"KO:K00113",8.40057668349106,-0.0947898888828405,0.603063052251894,0.619955085304424,0.889936091912716
"KO:K00114",688.455395953962,-0.585136936194299,0.662415847144129,0.111664556853142,0.49055026947312
"KO:K00116",36.6681706018541,0.346728201759523,0.72659888722663,0.0580309696559091,0.350377463751687
"KO:K00117",727.56357429297,-1.28593475491111,1.26830941626522,0.0104873301886223,0.134362066562941
"KO:K00118",432.073785825034,3.18599596897722,1.2280320529369,5.31243439681305e-05,0.00295966989046691
"KO:K00121",161.753781596488,-0.427677180590951,0.592279574808788,0.200800055778706,0.613464102360782
"KO:K00122",33.5562451528231,0.303143425981706,0.534562911992732,0.361689457992998,0.759716835684022
"KO:K00123",1350.48194705533,-0.966120488363376,0.704009840615075,0.0271673474045617,0.22859115882511
"KO:K00124",188.508503055242,-1.2627916399507,0.875161411598604,0.0125975645569921,0.151270072163425
"KO:K00125",1.58872708361793,0.0345793151929705,0.630121547420826,0.564989884813582,NA
"KO:K00126",4.45969895662081,0.142390975652587,0.632731899858709,0.337714910379582,NA
"KO:K00127",81.7027167978305,-0.784019161560043,0.903999939963951,0.0522901689407193,0.334966813928615
"KO:K00128",333.668150856745,0.116348929581157,0.405356297360449,0.708611652452973,0.928537496609693
"KO:K00129",1.75668071302961,0.023959598124769,0.629688043382654,0.724390453053142,NA
"KO:K00130",360.949367320624,0.671164121212742,1.06603015620101,0.018535181083538,0.184394593076014
"KO:K00131",16.0802708140461,0.592178168211318,1.07436391022829,0.0111302351926381,0.138263090551791
"KO:K00132",5.39968969865492,0.218753037280426,0.608635262546123,0.40875472485626,0.79117649478579
"KO:K00133",265.42778162749,-0.103179458320206,0.333802972216213,0.709424482978003,0.928775591451453
"KO:K00134",999.144064562613,-0.166529980602194,0.328435005889464,0.547971384269915,0.860748424866543
"KO:K00135",770.44970913439,0.23137240437849,0.535692098725736,0.452277466192072,0.811831719264368
"KO:K00137",7.47893574443137,0.17086312949746,0.646044151352985,0.321903657384324,0.727925122177827
"KO:K00138",253.230054533493,0.0220577631979793,0.538023355967776,0.939078881601246,0.986708580290551
"KO:K00140",351.344222141676,0.599194568063793,0.580730550768802,0.103110163177215,0.475787275259134
"KO:K00141",8.26459733806344,0.130516121088715,0.641910729370099,0.180237660079859,0.582188115978864
"KO:K00143",0.822356975168788,-0.00887216235940894,0.62980788890465,0.891428398784055,NA
"KO:K00145",165.314609406432,0.143653100897399,0.403376952544385,0.650297571679695,0.907110838795993
"KO:K00146",33.6196535777369,-0.065107467189957,0.54698552835295,0.802571160685611,0.968211552900746
"KO:K00147",84.9420178597206,-0.197426892077553,0.461121301820858,0.523082019390374,0.851870993885632
"KO:K00148",25.2386385298533,0.11818593300373,0.569568648804213,0.615245390391426,0.888553535141113
"KO:K00150",315.927696884071,-0.735325052678513,0.560563243029013,0.0503647386687966,0.325896036182414
"KO:K00151",3.2983678578269,0.0633116733581334,0.616088574685349,0.762136215357191,NA
"KO:K00153",24.4236686090618,-0.644520973606652,1.01083334153498,0.0399755152295519,0.289921044376849
"KO:K00154",22.0681922445219,-0.0026960060343675,0.56366766576809,0.955895816292608,0.99035982745062
"KO:K00156",211.435890536601,0.874831117065017,1.9215388892716,0.000830907217641176,0.02182318456619
"KO:K00158",187.651868403795,0.611958013172156,1.09742293261805,0.00188097906502221,0.0419173334671919
"KO:K00161",383.882487044706,-0.534322902609628,0.473747022086475,0.120111747402526,0.505321390387973
"KO:K00162",241.22637035333,-0.357352342181291,0.507158714237128,0.290636261767547,0.699849073031611
"KO:K00163",737.535952016861,0.628829955117021,0.438964537576529,0.0628338072910442,0.369663855054672
"KO:K00164",994.387110862598,1.2163277829574,0.774131022149894,0.0131386892708892,0.154842821952114
"KO:K00166",71.02061253238,0.419041419037596,0.668558415311575,0.130009973389728,0.523026993603972
"KO:K00167",43.6709095835345,0.133564188020175,0.514186991105492,0.655607462367831,0.90843026627109
"KO:K00169",384.981769088185,0.294019957828331,0.576119426073086,0.337165625142518,0.742276690889585
"KO:K00170",328.660707096719,-0.2020098159771,0.468768567994771,0.514278837384575,0.850339788392305
"KO:K00171",139.740485877087,-1.01477678643142,0.874516252013318,0.0244292947904939,0.214895973551785
"KO:K00172",71.6882396281363,-0.175656195998808,0.43614152523023,0.573641052008056,0.872604709434936
"KO:K00174",1439.94407408089,0.311868761576089,0.352459591041516,0.295080462916666,0.703685713434732
"KO:K00175",773.095067523278,-0.66114370707242,0.265470076831309,0.00620571065845763,0.0961989190359256
"KO:K00176",8.00660285036144,0.0431658033482975,0.630890470000525,0.000136890341818665,0.00598622941047152
"KO:K00177",5.48683245531779,0.0486553707822294,0.630493499532754,0.600460938293675,0.883942842994614
"KO:K00179",34.8096273020526,0.125756860001938,0.592612059363355,0.617002547809657,0.88864800951669
"KO:K00180",2.2477275182065,-0.0271305556159459,0.61151523111127,0.837834571135601,NA
"KO:K00183",4.97364055959354,0.0361116053173923,0.627625833951632,0.746945777149464,0.947402422414136
"KO:K00184",409.239040153057,0.114064793703701,0.536644072052793,0.692207660381574,0.92319461995758
"KO:K00185",203.04645661402,0.0631119790779088,0.530073346751524,0.854123043517176,0.97312467985146
"KO:K00186",0.340488944953758,0.0337471794836314,0.630425525605307,0.757531997967381,NA
"KO:K00187",10.3882492066019,0.0406044702760021,0.630886176002017,7.26500824108865e-05,0.0038257288858336
"KO:K00189",0.0731137188423325,0.0342625069428854,0.630344967980959,0.828700511199494,NA
"KO:K00192",0.453305056822462,0.0442157422086712,0.631233402561265,0.608265188969852,NA
"KO:K00193",0.116981950147732,0.0368746224477425,0.630567059439966,0.770254974652611,NA
"KO:K00194",1.62599837677794,0.0376903550192378,0.630615374492085,0.626053018263126,NA
"KO:K00196",1.72589451375798,0.029304534318187,0.628939523892184,0.871851030021301,NA
"KO:K00197",2.3521989604961,0.038702824287104,0.630671412598991,0.643730639308779,NA
"KO:K00198",9.04271173017274,0.164536522818653,0.652207973441472,0.269780204748899,0.684685517793766
"KO:K00200",5.66790333058156,0.153893246223951,0.603834313049369,0.579389874274499,0.873692270091248
"KO:K00201",38.0618181011484,-0.167292839038022,0.568692774851106,0.533965101825765,0.855880418227261
"KO:K00202",2.36363320621349,-0.0345182480245803,0.621192222408498,0.68892337624276,NA
"KO:K00203",14.0840468925732,-0.167628910047515,0.614648371092576,0.42332160631877,0.799020076188314
"KO:K00204",0.126112513261362,-0.00514817666795868,0.62998498076803,0.882146535224388,NA
"KO:K00205",0.208110716080407,-0.00873896372167342,0.629770379213313,0.887830812580252,NA
