"","KO","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Activity","VOC","VOC_alt","gene_name","Priority","Significance","datExpr"
"1","K00004",2.05202084985564,2.79848560436019,2.79271733283153,1.00206546916182,0.316311974009581,NA,"consume","Diacetyl","Diacetyl","BDH","yes",NA,"K00004"
"2","K00156",211.435890536601,-0.331379357689981,1.38413509624874,-0.239412582332519,0.810785674375784,0.995685314364764,"produce","Acetate","Acetate","poxB","yes",NA,"K00156"
"3","K00158",187.651868403795,-0.534768490097655,1.45722449227318,-0.366977423817143,0.713635858118425,0.97117701929836,"produce","Acetate","Acetate","poxL","yes",NA,"K00158"
"4","K00925",75.0399757595876,1.27104406348203,1.0497404562611,1.21081745101942,0.225965375442847,0.710051896115663,"consume","Acetate","Acetate","ackA","yes",NA,"K00925"
"5","K01026",9.37508278686748,2.3905128217283,1.76767662681418,1.3523473612007,0.176264220139768,0.649034709391336,"produce","Acetate","Acetate","pct","yes",NA,"K01026"
"6","K01067",18.7497412456074,20.2933328505836,2.43434340939339,8.33626544729793,7.66736871914675e-17,4.97765577247007e-14,"produce","Acetate","Acetate","ACH1","yes","Sig.48","K01067"
"7","K01512",65.2108028287438,-1.41589910975355,1.28493320433827,-1.10192429067371,0.270494587310605,0.758537334798718,"produce","Acetate","Acetate","acyP","yes",NA,"K01512"
"8","K01574",5.50430207293495,1.10446234609698,1.79531664839395,0.615190833931723,0.53842870037299,NA,"produce","Acetone","Acetone","adc","yes",NA,"K01574"
"9","K01652",1210.26305902684,0.106762626428725,0.359410488912825,0.297049278532939,0.766428887271878,0.984358569663019,"produce","Diacetyl","Diacetyl","ilvB","yes",NA,"K01652"
"10","K01895",729.514087394543,-0.393571880133602,0.523268548089009,-0.752141288772155,0.45196609634215,0.877135845850565,"consume","Acetate","Acetate","acs","yes",NA,"K01895"
"11","K03366",12.1644858228611,-2.63939382196594,1.32414054154497,-1.99328827957067,0.046229889067077,0.359861438637247,"consume","Diacetyl","Diacetyl","butA","yes",NA,"K03366"
"12","K10854",179.904253313819,-9.85877855595265,3.54289598806461,-2.78268924325329,0.00539104149356414,0.0961501136709297,"consume","Acetone","Acetone","acxB","yes","Sig.0","K10854"
"13","K10855",40.2807320038094,-6.13992410023223,2.51876728018153,-2.43767026376082,0.0147822509685217,0.176408774425814,"consume","Acetone","Acetone","acxA","yes",NA,"K10855"
"14","K10856",23.8790653252539,-6.54133195546823,2.60252945041059,-2.51345165544091,0.0119556162941668,0.156483590688973,"consume","Acetone","Acetone","acxC","yes",NA,"K10856"
"15","K18118",58.5022754502293,2.09252018880411,1.58891531254497,1.31694884697947,0.187855771496852,0.666125443605531,"produce","Acetate","Acetate","aarC","yes",NA,"K18118"
"16","K18371",14.7701106871758,0.292481622945714,2.4288018173071,0.12042218548321,0.90414871780912,1,"consume","Acetone","Acetone","acmA","yes",NA,"K18371"
"17","K18372",1.32921983238291,1.04158801633174,4.43639548866079,0.234782498312874,0.814377552417975,NA,"consume","Acetone","Acetone","acmB","yes",NA,"K18372"
"18","K18382",14.6592713541268,0.354327042291571,1.66380615870998,0.212961732613309,0.831356810933149,0.999616692979996,"consume","Acetone","Acetone","ald1","yes",NA,"K18382"
