"","Sample_ID","PC1","PC2","Condition","Site","Time","Condition_time"
"1","P11SSC1_190916_c",-12.1268416428682,7.06455958307844,"PreDrought","Site1","0hr","PreDrought_0hr"
"2","P11SSC1_190916_f",-63.2579646175927,17.0781022566109,"PreDrought","Site1","6hr","PreDrought_6hr"
"3","P11SSC1_190916_i",-27.0949167711182,20.1299860609024,"PreDrought","Site1","48hr","PreDrought_48hr"
"4","P11SSC1_191110_c",-70.0508642221231,16.2983046425406,"Drought","Site1","0hr","Drought_0hr"
"5","P11SSC1_191119_f",-12.1764078133663,21.3749011823827,"Drought","Site1","6hr","Drought_6hr"
"6","P11SSC1_191119_i",-78.7881759848646,13.460133727651,"Drought","Site1","48hr","Drought_48hr"
"7","P15SSC1_190912_c",14.8429267393194,42.6301437906926,"PreDrought","Site1","0hr","PreDrought_0hr"
"8","P15SSC1_190913_f",16.1479906454235,28.5359807883057,"PreDrought","Site1","6hr","PreDrought_6hr"
"9","P15SSC1_190915_i",37.1911340055978,37.7753082850196,"PreDrought","Site1","48hr","PreDrought_48hr"
"10","P15SSC1_191107_f",31.7099606802509,31.5972167799214,"Drought","Site1","6hr","Drought_6hr"
"11","P15SSC1_191107_i",13.8121239006742,26.4270765985159,"Drought","Site1","48hr","Drought_48hr"
"12","P15SSCI_191107_c",19.1849782298505,28.6062324811294,"Drought","Site1","0hr","Drought_0hr"
"13","P24SSC2_190915_c",14.2807718350616,-5.02921809836003,"PreDrought","Site2","0hr","PreDrought_0hr"
"14","P24SSC2_190915_f",35.5086691400701,-4.61702309756689,"PreDrought","Site2","6hr","PreDrought_6hr"
"15","P24SSC2_190915_i",2.58133659387971,-1.61068865362406,"PreDrought","Site2","48hr","PreDrought_48hr"
"16","P24SSC2_191109_c",25.5337080461369,-2.10748788278372,"Drought","Site2","0hr","Drought_0hr"
"17","P24SSC2_191109_f",-7.97335814136685,0.573435955550196,"Drought","Site2","6hr","Drought_6hr"
"18","P24SSC2_191109_i",47.3555414524565,-1.23973422744433,"Drought","Site2","48hr","Drought_48hr"
"19","P26SSC2_190918_f",23.9974044558491,-10.3549885327911,"PreDrought","Site2","6hr","PreDrought_6hr"
"20","P26SSC2_190918_i",26.17561230339,-7.04907689454757,"PreDrought","Site2","48hr","PreDrought_48hr"
"21","P26SSC2_191112_c",37.4986399520787,-12.9986323578772,"Drought","Site2","0hr","Drought_0hr"
"22","P26SSC2_191112_f",7.91415346234211,-12.9706311924,"Drought","Site2","6hr","Drought_6hr"
"23","P26SSC2_191112_i",-33.4968925376869,-13.8951422841379,"Drought","Site2","48hr","Drought_48hr"
"24","P34SSC2_190917_c",-7.15415493234917,-13.733460937847,"PreDrought","Site3","0hr","PreDrought_0hr"
"25","P34SSC2_190917_f",25.4202465381288,-17.1648520449282,"PreDrought","Site3","6hr","PreDrought_6hr"
"26","P34SSC2_190917_i",-1.53319159502543,-15.0284105311719,"PreDrought","Site3","48hr","PreDrought_48hr"
"27","P34SSC2_191111_c",-22.3235493052545,-8.94463463283991,"Drought","Site3","0hr","Drought_0hr"
"28","P34SSC2_191111_f",-12.5258875123481,-8.89912243154982,"Drought","Site3","6hr","Drought_6hr"
"29","P34SSC2_191111_i",9.64605300398621,-15.9198416348383,"Drought","Site3","48hr","Drought_48hr"
"30","P35SSC1_190914_c",11.9688269936748,-23.1726250329703,"PreDrought","Site3","0hr","PreDrought_0hr"
"31","P35SSC1_190914_f",-13.1848867585679,-26.9978159015117,"PreDrought","Site3","6hr","PreDrought_6hr"
"32","P35SSC1_190914_i",11.009129734676,-21.7148793557225,"PreDrought","Site3","48hr","PreDrought_48hr"
"33","P35SSC1_191108_c",-49.350894593146,-19.9448905595498,"Drought","Site3","0hr","Drought_0hr"
"34","P35SSC1_191108_f",-3.36378087625312,-22.4232383162535,"Drought","Site3","6hr","Drought_6hr"
"35","P35SSC1_191108_i",2.62255959108404,-25.7349875315855,"Drought","Site3","48hr","Drought_48hr"
