"","SampleID","PC1","PC2","Condition","Site","Time","Condition_Time"
"1","X3300044942_Site3_PreDrought_6hr",-129.274315174982,-0.404479957968176,"PreDrought","Site3","6hr","PreDrought_6hr"
"2","X3300044943_Site3_PreDrought_48hr",-62.7062547213377,26.9626067123034,"PreDrought","Site3","48hr","PreDrought_48hr"
"3","X3300044944_Site3_PreDrought_0hr",20.7425271862842,28.9661315381512,"PreDrought","Site3","0hr","PreDrought_0hr"
"4","X3300044945_Site3_Drought_6hr",48.9153127044434,-15.6816846485026,"Drought","Site3","6hr","Drought_6hr"
"5","X3300045458_Site1_PreDrought_48hr",-67.8915809948378,8.15252207194291,"PreDrought","Site1","48hr","PreDrought_48hr"
"6","X3300045459_Site1_Drought_6hr",74.1642330675538,-35.2137228154743,"Drought","Site1","6hr","Drought_6hr"
"7","X3300045460_Site1_Drought_48_hr",74.1261986945348,-43.8150510322895,"Drought","Site1","48hr","Drought_48hr"
"8","X3300045461_Site2_PreDrought_0hr",19.9239181181158,33.0107598599576,"PreDrought","Site2","0hr","PreDrought_0hr"
"9","X3300045462_Site2_PreDrought_6hr",-90.2923937656822,17.5631301409541,"PreDrought","Site2","6hr","PreDrought_6hr"
"10","X3300045463_Site2_PreDrought_48hr",-44.2686812489087,20.3455087334949,"PreDrought","Site2","48hr","PreDrought_48hr"
"11","X3300045464_Site2_Drought_0hr",16.575140746862,-56.6982431714804,"Drought","Site2","0hr","Drought_0hr"
"12","X3300045465_Site2_Drought_48hr",56.7545952888502,-61.983431553332,"Drought","Site2","48hr","Drought_48hr"
"13","X3300045466_Site2_Pre_drought_0hr",41.6399742457686,37.1237785044493,"PreDrought","Site2","0hr","PreDrought_0hr"
"14","X3300045467_Site2_PreDrought_6hr",-43.4871751659905,14.4681710509571,"PreDrought","Site2","6hr","PreDrought_6hr"
"15","X3300045468_Site2_PreDrought_48hr",124.184902509764,15.5733730443423,"PreDrought","Site2","48hr","PreDrought_48hr"
"16","X3300045469_Site2_Drought_0hr",27.8880978883955,-18.9715469173926,"Drought","Site2","0hr","Drought_0hr"
"17","X3300045470_Site2_Drought_6hr",-11.4362929233968,-10.5350819842891,"Drought","Site2","6hr","Drought_6hr"
"18","X3300045471_Site3_Drought_6hr",-35.9878003673443,-2.36985800043556,"Drought","Site3","6hr","Drought_6hr"
"19","X3300045472_Site3_Drought_48hr",-52.1436837556829,23.5191111654601,"Drought","Site3","48hr","Drought_48hr"
"20","X3300045473_Site2_Drought_48hr",-29.553856255466,-42.3553956526308,"Drought","Site2","48hr","Drought_48hr"
"21","X3300048051_Site1_Drought_0hr",106.195046219415,23.0475319305096,"Drought","Site1","0hr","Drought_0hr"
"22","X3300048052_Site3_PreDrought_0hr",138.516594057439,46.7489719389877,"PreDrought","Site3","0hr","PreDrought_0hr"
"23","X3300048053_Site3_PreDrought_48hr",89.0671811200589,46.5066432529432,"PreDrought","Site3","48hr","PreDrought_48hr"
"24","X3300048054_Site3_Drought_0hr",136.221687643174,29.5950389690087,"Drought","Site3","0hr","Drought_0hr"
"25","X3300048092_Site1_PreDrought_0hr",-39.9842179216597,28.7851238885821,"PreDrought","Site1","0hr","PreDrought_0hr"
"26","X3300048093_Site1_PreDrought_6hr",-82.2062153021645,14.1221136051748,"PreDrought","Site1","6hr","PreDrought_6hr"
"27","X3300048094_Site1_PreDrought_48hr",-76.5821810428839,23.2830997519099,"PreDrought","Site1","48hr","PreDrought_48hr"
"28","X3300048095_Site1_Drought_6hr",-39.0191623000886,-18.5123861784005,"Drought","Site1","6hr","Drought_6hr"
"29","X3300048096_Site1_Drought_48hr",-15.8306437636921,-71.6851134817947,"Drought","Site1","48hr","Drought_48hr"
"30","X3300048099_Site1_PreDrought_0hr",-26.3617805507136,19.8652743174003,"PreDrought","Site1","0hr","PreDrought_0hr"
"31","X3300048100_Site1_PreDrought_6hr",-68.0287238424663,7.08696975635289,"PreDrought","Site1","6hr","PreDrought_6hr"
"32","X3300049511_Site2_Drought_6hr",-60.4667653228195,18.8294796695543,"Drought","Site2","6hr","Drought_6hr"
"33","X3300049512_Site3_Drought_0hr",21.1286985611936,-28.1907274784936,"Drought","Site3","0hr","Drought_0hr"
"34","X3300049557_Site3_Drought_48hr",4.72794567965272,-70.5655617610647,"Drought","Site3","48hr","Drought_48hr"
"35","X3300049628_Site1_Drought_0hr",-25.2503293113858,-6.57305526888897,"Drought","Site1","0hr","Drought_0hr"
