"","name","xend","yend","coord","cos2","contrib"
"KO:K00001","KO:K00001",-17.3373661496411,0.0641548048184284,0.103378494212789,0.103378494212789,0.00771063873422296
"KO:K00002","KO:K00002",-19.8385573312047,26.1470508902085,0.370483716374785,0.370483716374785,0.0276330789651304
"KO:K00003","KO:K00003",-16.392370871839,0.0308055398043586,0.0924151322394469,0.0924151322394469,0.0068929200768496
"KO:K00004","KO:K00004",-20.8252743443404,-0.917919117379009,0.149445348814139,0.149445348814139,0.0111466035947852
"KO:K00005","KO:K00005",-54.9637744367707,18.8437909586443,1.16111157019258,1.16111157019258,0.0866032332551982
"KO:K00006","KO:K00006",1.59135720363069,3.67954435923854,0.00552730544356426,0.00552730544356426,0.000412262296656237
"KO:K00007","KO:K00007",1.530490127166,-0.835807641083852,0.00104585332904274,0.00104585332904274,7.8006525928246e-05
"KO:K00008","KO:K00008",-20.6416490953283,-3.35857802419487,0.150416269528529,0.150416269528529,0.0112190211602106
"KO:K00009","KO:K00009",-44.4773489004819,-5.25733317036218,0.689861149128032,0.689861149128032,0.0514543197616443
"KO:K00010","KO:K00010",-14.1908865882246,0.746768119332303,0.069450927904714,0.069450927904714,0.00518010074443088
"KO:K00011","KO:K00011",-23.2185991197384,-12.8272954646217,0.241997174034143,0.241997174034143,0.018049719120878
"KO:K00012","KO:K00012",-16.0290484175385,0.968939105515246,0.0886865063221212,0.0886865063221212,0.00661481496763431
"KO:K00013","KO:K00013",-15.4637613564419,2.54932269489139,0.0844761375859913,0.0844761375859913,0.00630077835383589
"KO:K00014","KO:K00014",-13.7574714048703,6.24627395321785,0.0785115237628141,0.0785115237628141,0.005855898761326
"KO:K00015","KO:K00015",-16.2400064624092,-0.141354439808532,0.09071170080278,0.09071170080278,0.00676586710982125
"KO:K00016","KO:K00016",-14.7362842553345,0.456856654348813,0.0747568869764915,0.0747568869764915,0.0055758535927635
"KO:K00018","KO:K00018",-18.2538910512803,7.232847808295,0.132587743170558,0.132587743170558,0.00988925400741259
"KO:K00019","KO:K00019",-13.0604018664804,3.85195505555939,0.0637668615624453,0.0637668615624453,0.00475614620301168
"KO:K00020","KO:K00020",-17.1683489203739,3.53216924962351,0.105662140998185,0.105662140998185,0.00788096792592609
"KO:K00021","KO:K00021",-24.6030187722539,7.43268558453089,0.227177811201406,0.227177811201406,0.0169443949048045
"KO:K00022","KO:K00022",-46.0315174708512,-9.56764859048708,0.760215713650759,0.760215713650759,0.0567018195871081
"KO:K00023","KO:K00023",-11.9681738150919,6.37831934826135,0.0632538999016892,0.0632538999016892,0.00471788619467324
"KO:K00024","KO:K00024",-15.797872947661,-0.323256914690008,0.0858691266081169,0.0858691266081169,0.00640467651168911
"KO:K00027","KO:K00027",-19.5644187992129,1.20404586864698,0.132139815480102,0.132139815480102,0.0098558446544668
"KO:K00028","KO:K00028",-0.661374788303856,0.0737595570133409,0.000152307611652147,0.000152307611652147,1.13600897252839e-05
"KO:K00029","KO:K00029",-14.6048048839602,5.04897705815576,0.0821256247374014,0.0821256247374014,0.00612546185736689
"KO:K00030","KO:K00030",-16.4601768334783,-0.0332495332365388,0.0931813028118504,0.0931813028118504,0.00695006604843278
"KO:K00031","KO:K00031",-13.4836933154226,3.66300804063668,0.0671427705822953,0.0671427705822953,0.00500794339787204
"KO:K00032","KO:K00032",-18.3092844724907,-34.642692336277,0.528036912974321,0.528036912974321,0.0393844184448918
"KO:K00033","KO:K00033",-17.5815209063629,0.964320852529409,0.106629027914769,0.106629027914769,0.00795308462454317
"KO:K00034","KO:K00034",-20.5256492448294,-1.18350299802621,0.145376195165448,0.145376195165448,0.010843099718297
"KO:K00035","KO:K00035",-21.2063388284425,-10.9471647703678,0.195879630775588,0.195879630775588,0.0146099735714344
"KO:K00036","KO:K00036",-16.6795002929189,0.785813211844818,0.0958930143559852,0.0958930143559852,0.00715232308677972
"KO:K00038","KO:K00038",-10.7921669255847,-2.01060030606089,0.0414470172722884,0.0414470172722884,0.00309138742280285
"KO:K00039","KO:K00039",-37.176853895167,3.34580850701702,0.47918881353694,0.47918881353694,0.0357410103019973
"KO:K00040","KO:K00040",-17.4237086556598,5.53092788456398,0.114930234164321,0.114930234164321,0.00857224243812878
"KO:K00041","KO:K00041",-21.7761394807113,10.5429440338745,0.20131518928968,0.20131518928968,0.015015392786911
"KO:K00042","KO:K00042",-16.1000239125472,2.37484638691903,0.0910875626586015,0.0910875626586015,0.00679390132531533
"KO:K00043","KO:K00043",-13.3716608991808,6.92258258260573,0.0779748383134688,0.0779748383134688,0.00581586927893387
"KO:K00045","KO:K00045",-17.3048845150895,9.37153745062742,0.133195146714333,0.133195146714333,0.00993455810404898
"KO:K00046","KO:K00046",-16.5397497133901,4.31638480909571,0.100491666301442,0.100491666301442,0.00749532038119634
"KO:K00048","KO:K00048",-22.7397361213398,1.0225258665709,0.178199345412682,0.178199345412682,0.0132912631937157
"KO:K00049","KO:K00049",-7.94233341039002,-5.65127133958173,0.0326784718542225,0.0326784718542225,0.00243737242231189
"KO:K00050","KO:K00050",-17.5917882156216,2.4067736763867,0.108425592757738,0.108425592757738,0.00808708408518753
"KO:K00052","KO:K00052",-14.2633919861758,2.70440046933407,0.0724840339996354,0.0724840339996354,0.00540632947332269
"KO:K00053","KO:K00053",-15.8120364505551,2.47096217023569,0.0880870235889837,0.0880870235889837,0.00657010165643911
"KO:K00054","KO:K00054",-16.2773735479802,9.81797803189736,0.124274138870231,0.124274138870231,0.00926917146677165
"KO:K00055","KO:K00055",-13.1911576507392,7.00149775870605,0.0767037585800114,0.0767037585800114,0.00572106390667812
"KO:K00057","KO:K00057",-17.0858438394257,2.49429021234796,0.102539040264884,0.102539040264884,0.00764802681309176
"KO:K00058","KO:K00058",-16.7500273575295,1.29216012481065,0.0970657356088105,0.0970657356088105,0.00723979224547987
"KO:K00059","KO:K00059",-17.6614700547584,2.08744548305977,0.108776866576712,0.108776866576712,0.00811328436538626
"KO:K00060","KO:K00060",-18.7149230797656,2.60293055239724,0.122787718455078,0.122787718455078,0.00915830458951936
"KO:K00064","KO:K00064",-19.2725269700651,-1.80889093214643,0.128867815657016,0.128867815657016,0.00961179768157968
"KO:K00065","KO:K00065",-17.2644234240522,1.05337441146036,0.102890654379322,0.102890654379322,0.00767425247473373
"KO:K00066","KO:K00066",-15.1818565186738,2.76627304046715,0.081901573920972,0.081901573920972,0.00610875069401759
"KO:K00067","KO:K00067",-20.0569221040029,-0.261850739190259,0.138375946580343,0.138375946580343,0.010320975766884
"KO:K00068","KO:K00068",-11.8473399597182,16.6267466001585,0.14334885640045,0.14334885640045,0.0106918876414736
