"","PC1","PC2","unique","Condition","Time","Site","Label"
"X1_drought_0hr_site1_wat",-3.39704775013505,3.22243141232121,"X1","drought","0hr","site1","wat"
"X2_drought_0hr_site1_pyru",-3.42644580862686,-0.333342109269772,"X2","drought","0hr","site1","pyru"
"X3_drought_6hr_site2_pyru",-0.116399178355432,-1.83003593197,"X3","drought","6hr","site2","pyru"
"X4_drought_0hr_site2_pyru",-2.34550930790114,0.353656152740963,"X4","drought","0hr","site2","pyru"
"X5_drought_0hr_site1_pyru",-3.36235522228968,0.493523671638016,"X5","drought","0hr","site1","pyru"
"X6_drought_0hr_site3_pyru",-1.58356210319297,-1.0629208589764,"X6","drought","0hr","site3","pyru"
"X7_pre_0hr_site1_pyru",5.54610642578796,1.73812479999879,"X7","pre","0hr","site1","pyru"
"X8_pre_0hr_site2_pyru",5.16139660581906,2.1289298778947,"X8","pre","0hr","site2","pyru"
"X9_pre_0hr_site2_pyru",0.308470257206715,-0.0887140558034765,"X9","pre","0hr","site2","pyru"
"X10_pre_0hr_site3_pyru",2.65232110428785,-3.63823023503497,"X10","pre","0hr","site3","pyru"
"X11_pre_0hr_site3_pyru",0.563024977399555,-0.983422723539063,"X11","pre","0hr","site3","pyru"
