"","PC1","PC2","Soil","Condition","Collar","Site","Time"
"Soil_Drought_P11_Site1_0",-59.8052743172581,-15.4267996640812,"Soil","Drought","P11","Site1","0"
"Soil_Drought_P11_Site1_48",-1.07034428268533,16.4554696161983,"Soil","Drought","P11","Site1","48"
"Soil_Drought_P11_Site1_6",23.4869520907686,23.4850755971319,"Soil","Drought","P11","Site1","6"
"Soil_Drought_P15_Site1_0",-52.802181190646,0.795059048409726,"Soil","Drought","P15","Site1","0"
"Soil_Drought_P15_Site1_48",12.1433140783763,10.6611212649654,"Soil","Drought","P15","Site1","48"
"Soil_Drought_P15_Site1_6",32.2122555770942,23.5121602668823,"Soil","Drought","P15","Site1","6"
"Soil_Drought_P24_Site2_0",27.6999076795637,16.5499546761693,"Soil","Drought","P24","Site2","0"
"Soil_Drought_P24_Site2_48",20.2590020744127,10.109649735418,"Soil","Drought","P24","Site2","48"
"Soil_Drought_P24_Site2_6",-12.7393293198333,6.69207893735003,"Soil","Drought","P24","Site2","6"
"Soil_Drought_P26_Site2_0",-29.475836371618,9.38506383956737,"Soil","Drought","P26","Site2","0"
"Soil_Drought_P26_Site2_48",21.2623847333727,9.97047707867381,"Soil","Drought","P26","Site2","48"
"Soil_Drought_P26_Site2_6",29.1604612464694,20.6710777676505,"Soil","Drought","P26","Site2","6"
"Soil_Drought_P34_Site3_0",-64.8568711214124,16.9384312781581,"Soil","Drought","P34","Site3","0"
"Soil_Drought_P34_Site3_48",29.5696048985306,0.160845556037413,"Soil","Drought","P34","Site3","48"
"Soil_Drought_P34_Site3_6",32.7275889716671,24.1704651879205,"Soil","Drought","P34","Site3","6"
"Soil_Drought_P35_Site3_0",-47.8725701353883,-15.7582035426078,"Soil","Drought","P35","Site3","0"
"Soil_Drought_P35_Site3_48",-8.67231557963932,-67.1353690440966,"Soil","Drought","P35","Site3","48"
"Soil_Drought_P35_Site3_6",28.7322783497854,14.4433410132605,"Soil","Drought","P35","Site3","6"
"Soil_PreDrought_P11_Site1_0",-24.8996288641062,-12.9176084711256,"Soil","PreDrought","P11","Site1","0"
"Soil_PreDrought_P11_Site1_48",1.04952080580192,-5.22923428739494,"Soil","PreDrought","P11","Site1","48"
"Soil_PreDrought_P11_Site1_6",21.4521779232844,18.9061345144856,"Soil","PreDrought","P11","Site1","6"
"Soil_PreDrought_P15_Site1_0",25.2930305372889,-40.9959424666039,"Soil","PreDrought","P15","Site1","0"
"Soil_PreDrought_P15_Site1_48",20.4748653418782,-4.57727305133664,"Soil","PreDrought","P15","Site1","48"
"Soil_PreDrought_P15_Site1_6",27.6270659089536,21.0909247991175,"Soil","PreDrought","P15","Site1","6"
"Soil_PreDrought_P24_Site2_0",16.5837355031864,-10.9597486569405,"Soil","PreDrought","P24","Site2","0"
"Soil_PreDrought_P24_Site2_48",22.5523295504965,4.11969325321957,"Soil","PreDrought","P24","Site2","48"
"Soil_PreDrought_P24_Site2_6",26.3520094721932,-33.2909975925981,"Soil","PreDrought","P24","Site2","6"
"Soil_PreDrought_P26_Site2_0",15.2269286458836,9.30302611501608,"Soil","PreDrought","P26","Site2","0"
"Soil_PreDrought_P26_Site2_48",-1.97851691779712,-25.7430011556417,"Soil","PreDrought","P26","Site2","48"
"Soil_PreDrought_P26_Site2_6",15.7544638810548,16.0252837521916,"Soil","PreDrought","P26","Site2","6"
"Soil_PreDrought_P34_Site3_0",-0.473109534389054,-41.374912788303,"Soil","PreDrought","P34","Site3","0"
"Soil_PreDrought_P34_Site3_48",21.5903235510401,-12.8856180708805,"Soil","PreDrought","P34","Site3","48"
"Soil_PreDrought_P34_Site3_6",31.3620447945202,-10.2773427534895,"Soil","PreDrought","P34","Site3","6"
"Soil_PreDrought_P35_Site3_0",-19.9319980251448,-25.3974530226814,"Soil","PreDrought","P35","Site3","0"
"Soil_PreDrought_P35_Site3_48",6.60732134066535,-24.7004406580943,"Soil","PreDrought","P35","Site3","48"
"Soil_PreDrought_P35_Site3_6",23.6800717851943,14.0954840214369,"Soil","PreDrought","P35","Site3","6"
"Ctrl_Drought_P12_Site1_0",-122.009648661252,25.3667503078441,"Ctrl","Drought","P12","Site1","0"
"Ctrl_Drought_P12_Site1_6",-32.6607917720069,13.8455795934725,"Ctrl","Drought","P12","Site1","6"
"Ctrl_Drought_P12_Site1_48",-53.6112226483054,19.9167980052983,"Ctrl","Drought","P12","Site1","48"
