"","PC1","PC2","Soil","Condition","Collar","Site","Time"
"Soil_Drought_P11_Site1_0",-2.54327512636054,0.407918625660567,"Soil","Drought","P11","Site1","0"
"Soil_Drought_P11_Site1_48",-4.02548926641315,0.984333917918175,"Soil","Drought","P11","Site1","48"
"Soil_Drought_P11_Site1_6",-3.80848298256186,1.07726511525858,"Soil","Drought","P11","Site1","6"
"Soil_Drought_P15_Site1_0",-0.0084374070683999,-0.0308352304106324,"Soil","Drought","P15","Site1","0"
"Soil_Drought_P15_Site1_48",-0.116715651974453,0.521458773330435,"Soil","Drought","P15","Site1","48"
"Soil_Drought_P15_Site1_6",0.694423629551567,2.52617535269405,"Soil","Drought","P15","Site1","6"
"Soil_Drought_P24_Site2_0",1.11305051208372,-0.126481710824979,"Soil","Drought","P24","Site2","0"
"Soil_Drought_P24_Site2_48",-0.454705874846129,0.373669819632669,"Soil","Drought","P24","Site2","48"
"Soil_Drought_P24_Site2_6",0.190669430147527,-0.624545566350619,"Soil","Drought","P24","Site2","6"
"Soil_Drought_P26_Site2_0",-1.9539072243778,-0.667899374947752,"Soil","Drought","P26","Site2","0"
"Soil_Drought_P26_Site2_48",-2.02567904724067,0.0212845571091349,"Soil","Drought","P26","Site2","48"
"Soil_Drought_P26_Site2_6",-2.46347171189249,-0.386570203272986,"Soil","Drought","P26","Site2","6"
"Soil_Drought_P34_Site3_0",-1.650441760426,0.471881770944344,"Soil","Drought","P34","Site3","0"
"Soil_Drought_P34_Site3_48",-0.315855858559073,-0.155844604355865,"Soil","Drought","P34","Site3","48"
"Soil_Drought_P34_Site3_6",-1.49265032330424,1.80037207592775,"Soil","Drought","P34","Site3","6"
"Soil_Drought_P35_Site3_0",-1.00573484779684,-0.312132684244697,"Soil","Drought","P35","Site3","0"
"Soil_Drought_P35_Site3_48",-2.26584781416685,0.0192135008849798,"Soil","Drought","P35","Site3","48"
"Soil_Drought_P35_Site3_6",-0.784769799165665,-0.531851485319686,"Soil","Drought","P35","Site3","6"
"Soil_PreDrought_P11_Site1_0",-0.352750945067517,-0.975221856764257,"Soil","PreDrought","P11","Site1","0"
"Soil_PreDrought_P11_Site1_48",-1.18928252056624,0.313574768525106,"Soil","PreDrought","P11","Site1","48"
"Soil_PreDrought_P11_Site1_6",0.539727782388093,1.03022710841732,"Soil","PreDrought","P11","Site1","6"
"Soil_PreDrought_P15_Site1_0",2.10594044921403,-1.70759852194169,"Soil","PreDrought","P15","Site1","0"
"Soil_PreDrought_P15_Site1_48",2.23566760797349,0.0122104582428683,"Soil","PreDrought","P15","Site1","48"
"Soil_PreDrought_P15_Site1_6",5.26471157414984,0.647965398047835,"Soil","PreDrought","P15","Site1","6"
"Soil_PreDrought_P24_Site2_0",2.08893814416859,-1.45565184766468,"Soil","PreDrought","P24","Site2","0"
"Soil_PreDrought_P24_Site2_48",7.33468990044279,2.60797140945196,"Soil","PreDrought","P24","Site2","48"
"Soil_PreDrought_P24_Site2_6",2.6224298583442,-1.15921438550338,"Soil","PreDrought","P24","Site2","6"
"Soil_PreDrought_P26_Site2_0",2.11427988972243,0.675151799586915,"Soil","PreDrought","P26","Site2","0"
"Soil_PreDrought_P26_Site2_48",-1.44985148145707,-0.761432957777583,"Soil","PreDrought","P26","Site2","48"
"Soil_PreDrought_P26_Site2_6",-2.21606519456069,0.417666163098925,"Soil","PreDrought","P26","Site2","6"
"Soil_PreDrought_P34_Site3_0",0.676724709568775,-1.75220570766059,"Soil","PreDrought","P34","Site3","0"
"Soil_PreDrought_P34_Site3_48",3.50635996822079,0.495864826507198,"Soil","PreDrought","P34","Site3","48"
"Soil_PreDrought_P34_Site3_6",2.83327883652985,-2.01944196574407,"Soil","PreDrought","P34","Site3","6"
"Soil_PreDrought_P35_Site3_0",-0.2679943964675,-1.19083631573538,"Soil","PreDrought","P35","Site3","0"
"Soil_PreDrought_P35_Site3_48",0.681564856112661,-0.933460485953197,"Soil","PreDrought","P35","Site3","48"
"Soil_PreDrought_P35_Site3_6",1.49225464371483,0.0218737931205444,"Soil","PreDrought","P35","Site3","6"
"Ctrl_Drought_P12_Site1_0",-1.795633614361,0.54306274323832,"Ctrl","Drought","P12","Site1","0"
"Ctrl_Drought_P12_Site1_6",-1.24862383169104,-0.749974062190399,"Ctrl","Drought","P12","Site1","6"
"Ctrl_Drought_P12_Site1_48",-2.05904511200796,0.572056989064753,"Ctrl","Drought","P12","Site1","48"
