"","name","xend","yend","coord","cos2","contrib"
"2.Oxoisocaproate","2.Oxoisocaproate",4.97737283852745,-0.520640702629067,0.760034171814052,0.760034171814052,5.2542039774191
"3.Hydroxybutyrate","3.Hydroxybutyrate",0.297581247769154,-0.832386616355032,0.0237133239871426,0.0237133239871426,0.163932946480143
"Acetate","Acetate",1.95274455014991,-2.97231253963736,0.38381643797181,0.38381643797181,2.65336734817722
"Acetone","Acetone",0.170808292786123,2.56398264044391,0.200382621952308,0.200382621952308,1.38526820018439
"Alanine","Alanine",4.76150453880131,1.09322587516371,0.724278899675835,0.724278899675835,5.00702365310037
"Benzoate","Benzoate",1.51411264410771,-3.80341154340435,0.508558937785114,0.508558937785114,3.51572665119105
"Betaine","Betaine",-2.9407999016437,2.05516400174697,0.390618577677726,0.390618577677726,2.70039132528667
"Ethanol","Ethanol",-3.35175387788746,1.81405899261218,0.440782977942632,0.440782977942632,3.04718361591172
"Formate","Formate",3.64420796046327,-0.388234395263545,0.407581424082551,0.407581424082551,2.8176574408823
"Glutamate","Glutamate",1.90491414430522,4.12849066400663,0.627354557559236,0.627354557559236,4.33697448591324
"Glycerol","Glycerol",1.65482630667215,-0.270618345066499,0.0853244166639133,0.0853244166639133,0.589857543295015
"Glycine","Glycine",5.32769661621206,0.511268509581376,0.869294446536731,0.869294446536731,6.00953287092346
"Isoleucine","Isoleucine",4.67716221704978,2.81698500715854,0.90466326930048,0.90466326930048,6.25404162610005
"Lactate","Lactate",2.17605916962459,-4.27178333653713,0.697461754212498,0.697461754212498,4.82163363041207
"Leucine","Leucine",4.87187293528632,2.63939194116372,0.931680181230589,0.931680181230589,6.44081265743663
"Methanol","Methanol",-3.25596584839745,3.10916698473211,0.615067308605811,0.615067308605811,4.25203131530746
"Phenylalanine","Phenylalanine",5.02789680673773,-0.0155110161171601,0.76715585126815,0.76715585126815,5.30343696969933
"Pyroglutamate","Pyroglutamate",5.44066245693475,0.505037401415512,0.906017318651297,0.906017318651297,6.26340232559031
"Pyruvate","Pyruvate",5.36125645233654,-0.951921213778832,0.899746362483991,0.899746362483991,6.22005048160961
"Succinate","Succinate",-1.55955900629516,-1.60552805386548,0.152033636364626,0.152033636364626,1.05102608081672
"Threonine","Threonine",4.53183585988479,2.80738115475309,0.862411236801304,0.862411236801304,5.96194844734028
"Trehalose","Trehalose",-4.03085910880189,2.34696011949493,0.66021706403562,0.66021706403562,4.56415678723537
"Uracil","Uracil",4.60792106233636,-1.60847777861635,0.722854713970678,0.722854713970678,4.99717809289515
"Valine","Valine",5.19912195396595,1.85052972567767,0.924208711818443,0.924208711818443,6.38916152679238
