"","K00156","K00158","K01026","K01067","K18118","K01512","K01895","K00925","K18372","log.flux.acetate","log.flux.acetone","tmt"
"1",7.731564,7.731564,3.364452,5.795089,7.860294,3.364452,8.338831,6.276323,3.364452,2.29119244748481,1.67977907757532,1
"2",9.21177,9.122657,3.364452,7.04692,6.910692,6.425215,9.515798,3.364452,3.364452,2.40498913260369,2.62414822327964,1
"3",4.061614,4.061614,4.550106,4.292819,5.448644,5.547697,9.118851,6.385024,3.364452,2.38992717321068,2.28439256959833,1
"4",9.668196,9.543435,4.237481,3.364452,3.364452,3.364452,8.547354,4.237481,3.364452,1.01769366632494,1.0972911002212,1
"5",8.678327,8.56627,4.583286,3.364452,7.340914,4.205377,9.995092,4.054237,3.364452,0.128760894678445,2.17591913339874,1
"6",6.774226,6.774226,4.394536,3.364452,6.118166,4.888225,8.194793,5.95798,3.364452,1.85823697486352,1.84042464927184,1
"7",9.166531,8.723273,3.364452,4.742261,3.364452,5.058927,8.955577,4.540813,3.364452,2.08031871450586,1.28051558929689,1
"8",8.675516,8.18072,3.364452,5.766487,5.950144,4.451977,8.752824,5.974466,3.364452,2.38071195500486,2.66711286245309,1
"9",8.552712,8.366035,3.364452,3.364452,7.232997,4.675541,8.32561,4.945688,3.364452,1.27024504471954,2.50352472520716,1
"10",3.364452,3.364452,4.357894,3.364452,3.364452,5.086866,8.864515,3.364452,3.364452,0.493965581074458,1.14715736884569,0
"11",5.008437,4.524769,3.364452,3.364452,4.005533,6.403838,10.710146,5.760206,3.364452,0,1.38670044617017,0
"12",4.027332,3.364452,4.619485,3.364452,5.345957,4.864293,9.301889,6.093398,4.423943,0.981942914192931,1.34533205082464,0
"13",3.364452,3.364452,3.364452,3.364452,3.364452,6.476063,11.628676,6.375204,3.364452,0.968658091818402,0.990494182666228,0
"14",9.45307,9.338,3.364452,3.364452,3.364452,3.364452,8.725363,3.364452,3.364452,0.819861332351191,1.41983154395205,0
"15",4.286556,4.286556,4.648056,4.998665,6.20092,5.524883,9.143564,6.668321,4.569788,1.06436370814894,1.40263685042857,0
"16",5.223762,5.223762,4.304051,3.364452,3.364452,6.7631,9.577607,6.286634,3.364452,1.19991783087639,0.813909225304664,0
"17",4.293137,4.293137,5.920377,3.364452,6.555661,5.726557,9.613129,7.669811,4.341577,0.455281178006551,0,0
"18",4.970693,4.91253,5.049045,5.349787,6.061236,4.994753,9.341557,6.66184,3.833836,1.24233674880507,1.39842720722216,0
