"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"1871","x3217","X3300045928_PreDrought_Site1_0hr",0.531882874423258,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Proteobacteria"
"1865","x3217","X3300045929_PreDrought_Site1_48hr",0.524638670471576,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Proteobacteria"
"1868","x3217","X3300045940_Drought_Site1_0hr",0.515612136601236,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Proteobacteria"
"1867","x3217","X3300045926_Drought_Site2_48hr",0.506861823078791,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Proteobacteria"
"1849","x3217","X3300049730_PreDrought_Site1_6hr",0.50576053362551,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Proteobacteria"
"1856","x3217","X3300045953_Drought_Site3_48hr",0.50279092360705,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Proteobacteria"
"1851","x3217","X3300045968_PreDrought_Site3_48hr",0.50015174747808,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Proteobacteria"
"1866","x3217","X3300045965_PreDrought_Site3_48hr",0.498786850554583,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Proteobacteria"
"1857","x3217","X3300045933_PreDrought_Site2_48hr",0.496591267641918,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Proteobacteria"
"1841","x3217","X3300045910_PreDrought_Site1_0hr",0.482102472451968,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Proteobacteria"
"1860","x3217","X3300045920_PreDrought_Site1_48hr",0.47956184126733,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Proteobacteria"
"1864","x3217","X3300045934_PreDrought_Site3_6hr",0.474263191084996,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Proteobacteria"
"1858","x3217","X3300045975_PreDrought_Site1_6hr",0.471471687150042,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Proteobacteria"
"1846","x3217","X3300045964_Drought_Site1_6hr",0.471094606449852,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Proteobacteria"
"1844","x3217","X3300049731_Drought_Site1_48hr",0.459852576287703,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Proteobacteria"
"1859","x3217","X3300045930_PreDrought_Site2_6hr",0.459678690110302,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Proteobacteria"
"1855","x3217","X3300045967_PreDrought_Site3_6hr",0.455268484741057,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Proteobacteria"
