"","OTU","Sample","Abundance","Condition","Site","Time","Condition_Time","Kingdom"
"68","x3325","X3300048095.Drought_6hr",0.988985979753663,"Drought","Site1","6hr","Drought_6hr","Bacteria"
"53","x3325","X3300048051.Drought_0hr",0.988164284563511,"Drought","Site1","0hr","Drought_0hr","Bacteria"
"63","x3325","X3300048099.Pre_drought_0hr",0.987575736022895,"PreDrought","Site1","0hr","PreDrought_0hr","Bacteria"
"60","x3325","X3300048093.Pre_drought_6hr",0.986777753023461,"PreDrought","Site1","6hr","PreDrought_6hr","Bacteria"
"45","x3325","X3300045472.Drought_48_hr",0.985651606086842,"Drought","Site3","48hr","Drought_48hr","Bacteria"
"69","x3325","X3300048092.Pre_drought_0hr",0.984814758964964,"PreDrought","Site1","0hr","PreDrought_0hr","Bacteria"
"40","x3325","X3300044942.Pre_drought_6hr",0.98315522339154,"PreDrought","Site3","6hr","PreDrought_6hr","Bacteria"
"51","x3325","X3300045467.Pre_drought_6hr",0.983127354371787,"PreDrought","Site2","6hr","PreDrought_6hr","Bacteria"
"58","x3325","X3300049511.Drought_6hr",0.981959848600825,"Drought","Site2","6hr","Drought_6hr","Bacteria"
"70","x3325","X3300049628.Drought_0hr",0.978848265509497,"Drought","Site1","0hr","Drought_0hr","Bacteria"
"48","x3325","X3300045463.Pre_Drought_48hr",0.977985116502646,"PreDrought","Site2","48hr","PreDrought_48hr","Bacteria"
"67","x3325","X3300048100.Pre_drought_6hr",0.976799837433802,"PreDrought","Site1","6hr","PreDrought_6hr","Bacteria"
"42","x3325","X3300045458.Pre_Drought_48hr",0.976547803227051,"PreDrought","Site1","48hr","PreDrought_48hr","Bacteria"
"49","x3325","X3300045473.Drought_48_hr",0.973774557369179,"Drought","Site2","48hr","Drought_48hr","Bacteria"
"41","x3325","X3300045461.Pre_drought_0hr",0.973041798964204,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria"
"38","x3325","X3300045460.Drought_48_hr",0.972706979860717,"Drought","Site1","48hr","Drought_48hr","Bacteria"
"44","x3325","X3300045462.Pre_drought_6hr",0.971708525258735,"PreDrought","Site2","6hr","PreDrought_6hr","Bacteria"
"64","x3325","X3300048094.Pre_Drought_48hr",0.971557063868019,"PreDrought","Site1","48hr","PreDrought_48hr","Bacteria"
"61","x3325","X3300048053.Pre_Drought_48hr",0.968502546866929,"PreDrought","Site3","48hr","PreDrought_48hr","Bacteria"
"39","x3325","X3300044945.Drought_6hr",0.967920362049616,"Drought","Site3","6hr","Drought_6hr","Bacteria"
"37","x3325","X3300044944.Pre_drought_0hr",0.965428056167664,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria"
"54","x3325","X3300045471.Drought_6hr",0.962858334655635,"Drought","Site3","6hr","Drought_6hr","Bacteria"
"36","x3325","X3300045459.Drought_6hr",0.962440159772065,"Drought","Site1","6hr","Drought_6hr","Bacteria"
"62","x3325","X3300049512.Drought_0hr",0.958487392613019,"Drought","Site3","0hr","Drought_0hr","Bacteria"
"66","x3325","X3300049557.Drought_48_hr",0.952684571873866,"Drought","Site3","48hr","Drought_48hr","Bacteria"
"47","x3325","X3300045466.Pre_drought_0hr",0.950539861448051,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria"
"56","x3325","X3300045465.Drought_48_hr",0.94769711399777,"Drought","Site2","48hr","Drought_48hr","Bacteria"
"50","x3325","X3300045470.Drought_6hr",0.942212680145333,"Drought","Site2","6hr","Drought_6hr","Bacteria"
"43","x3325","X3300044943.Pre_Drought_48hr",0.937215823652786,"PreDrought","Site3","48hr","PreDrought_48hr","Bacteria"
"57","x3325","X3300048052.Pre_drought_0hr",0.923480796076445,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria"
"46","x3325","X3300045469.Drought_0hr",0.916687754951307,"Drought","Site2","0hr","Drought_0hr","Bacteria"
"55","x3325","X3300045468.Pre_Drought_48hr",0.910478290229305,"PreDrought","Site2","48hr","PreDrought_48hr","Bacteria"
"65","x3325","X3300048054.Drought_0hr",0.896072863814799,"Drought","Site3","0hr","Drought_0hr","Bacteria"
