"","OTU","Sample","Abundance","Condition","Site","Time","Condition_Time","Kingdom","Phylum"
"2354","x662","X3300048051.Drought_0hr",0.76007365369982,"Drought","Site1","0hr","Drought_0hr","Bacteria","Chlorobi"
"1688","x3325","X3300048053.Pre_Drought_48hr",0.690886096065474,"PreDrought","Site3","48hr","PreDrought_48hr","Bacteria","Proteobacteria"
"1689","x3325","X3300048095.Drought_6hr",0.681214601191383,"Drought","Site1","6hr","Drought_6hr","Bacteria","Proteobacteria"
"1696","x3325","X3300048094.Pre_Drought_48hr",0.679160128068087,"PreDrought","Site1","48hr","PreDrought_48hr","Bacteria","Proteobacteria"
"1713","x3325","X3300048092.Pre_drought_0hr",0.659546308435349,"PreDrought","Site1","0hr","PreDrought_0hr","Bacteria","Proteobacteria"
"1683","x3325","X3300045472.Drought_48_hr",0.649049203713104,"Drought","Site3","48hr","Drought_48hr","Bacteria","Proteobacteria"
"1715","x3325","X3300049628.Drought_0hr",0.645265580137835,"Drought","Site1","0hr","Drought_0hr","Bacteria","Proteobacteria"
"1705","x3325","X3300048100.Pre_drought_6hr",0.638182696161445,"PreDrought","Site1","6hr","PreDrought_6hr","Bacteria","Proteobacteria"
"1714","x3325","X3300048099.Pre_drought_0hr",0.636994929004518,"PreDrought","Site1","0hr","PreDrought_0hr","Bacteria","Proteobacteria"
"1704","x3325","X3300048093.Pre_drought_6hr",0.632910217297917,"PreDrought","Site1","6hr","PreDrought_6hr","Bacteria","Proteobacteria"
"1691","x3325","X3300044943.Pre_Drought_48hr",0.631759508552581,"PreDrought","Site3","48hr","PreDrought_48hr","Bacteria","Proteobacteria"
"1709","x3325","X3300045458.Pre_Drought_48hr",0.62636713582813,"PreDrought","Site1","48hr","PreDrought_48hr","Bacteria","Proteobacteria"
"1685","x3325","X3300045462.Pre_drought_6hr",0.626059508509063,"PreDrought","Site2","6hr","PreDrought_6hr","Bacteria","Proteobacteria"
"1710","x3325","X3300045463.Pre_Drought_48hr",0.611086722102043,"PreDrought","Site2","48hr","PreDrought_48hr","Bacteria","Proteobacteria"
"1690","x3325","X3300049512.Drought_0hr",0.589871116445531,"Drought","Site3","0hr","Drought_0hr","Bacteria","Proteobacteria"
