"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"1005","x3217","X3300045928_PreDrought_Site1_0hr",0.532741514393476,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Proteobacteria"
"988","x3217","X3300045929_PreDrought_Site1_48hr",0.525606015094298,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Proteobacteria"
"983","x3217","X3300045940_Drought_Site1_0hr",0.516408286745254,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Proteobacteria"
"990","x3217","X3300045926_Drought_Site2_48hr",0.507781944543969,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Proteobacteria"
"977","x3217","X3300049730_PreDrought_Site1_6hr",0.506476824426424,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Proteobacteria"
"973","x3217","X3300045953_Drought_Site3_48hr",0.503570259876404,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Proteobacteria"
"1007","x3217","X3300045968_PreDrought_Site3_48hr",0.500927950347514,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Proteobacteria"
"987","x3217","X3300045965_PreDrought_Site3_48hr",0.499629468768182,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Proteobacteria"
"994","x3217","X3300045933_PreDrought_Site2_48hr",0.497376136313871,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Proteobacteria"
"1000","x3217","X3300045910_PreDrought_Site1_0hr",0.482860735453266,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Proteobacteria"
"1004","x3217","X3300045920_PreDrought_Site1_48hr",0.480343577906901,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Proteobacteria"
"985","x3217","X3300045934_PreDrought_Site3_6hr",0.475072737912821,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Proteobacteria"
"976","x3217","X3300045975_PreDrought_Site1_6hr",0.472284830855714,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Proteobacteria"
"1001","x3217","X3300045964_Drought_Site1_6hr",0.47189826596511,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Proteobacteria"
"991","x3217","X3300049731_Drought_Site1_48hr",0.460589933426288,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Proteobacteria"
"980","x3217","X3300045930_PreDrought_Site2_6hr",0.460440319904487,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Proteobacteria"
"981","x3217","X3300045967_PreDrought_Site3_6hr",0.456000440999243,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Proteobacteria"
"993","x3217","X3300045945_PreDrought_Site3_0hr",0.455516500146497,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Proteobacteria"
"986","x3217","X3300045941_PreDrought_Site2_0hr",0.446173654811255,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Proteobacteria"
"979","x3217","X3300045947_Drought_Site3_6hr",0.443874309378736,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Proteobacteria"
"989","x3217","X3300045884_Drought_Site1_6hr",0.440632039905275,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Proteobacteria"
"999","x3217","X3300045927_Drought_Site2_6hr",0.436888287325527,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Proteobacteria"
"1006","x3217","X3300045931_Drought_Site2_0hr",0.434120207600871,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Bacteria","Proteobacteria"
"998","x3217","X3300045977_Drought_Site1_0hr",0.432496167054408,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Proteobacteria"
"997","x3217","X3300045952_Drought_Site2_6hr",0.431898973612094,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Proteobacteria"
"1003","x3217","X3300045932_PreDrought_Site2_6hr",0.431314483372576,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Proteobacteria"
"1008","x3217","X3300049734_Drought_Site3_0hr",0.426761572226656,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Proteobacteria"
"996","x3217","X3300045978_Drought_Site1_48hr",0.425946117507016,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Proteobacteria"
"978","x3217","X3300046482_Drought_Site3_6hr",0.425524920826305,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Proteobacteria"
"982","x3217","X3300049733_Drought_Site2_48hr",0.424536950769575,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Proteobacteria"
"975","x3217","X3300045966_PreDrought_Site3_0hr",0.424483397613199,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Proteobacteria"
"974","x3217","X3300049732_PreDrought_0hr",0.417413069424259,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Proteobacteria"
"1002","x3217","X3300045944_PreDrought_Site2_48hr",0.416664263667108,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Proteobacteria"
"984","x3217","X3300045946_Drought_Site3_48hr",0.415202880747408,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Proteobacteria"
"995","x3217","X3300045936_Drought_Site2_0hr",0.415195240487819,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Bacteria","Proteobacteria"
"992","x3217","X3300045955_Drought_Site3_0hr",0.404533543346747,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Proteobacteria"
"338","x1662","X3300045936_Drought_Site2_0hr",0.318720417238076,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Bacteria","Acidobacteria"
