"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"77","x300","X3300045929_PreDrought_Site1_48hr",0.717902350813743,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Eukaryota","Ascomycota"
"106","x300","X3300049730_PreDrought_Site1_6hr",0.692857142857143,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Eukaryota","Ascomycota"
"79","x300","X3300045932_PreDrought_Site2_6hr",0.690402476780186,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Eukaryota","Ascomycota"
"104","x300","X3300045975_PreDrought_Site1_6hr",0.687650602409639,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Eukaryota","Ascomycota"
"83","x300","X3300045920_PreDrought_Site1_48hr",0.674615002483855,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Eukaryota","Ascomycota"
"101","x300","X3300045978_Drought_Site1_48hr",0.666926272066459,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Eukaryota","Ascomycota"
"74","x300","X3300045931_Drought_Site2_0hr",0.666143380429095,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Eukaryota","Ascomycota"
"91","x300","X3300045941_PreDrought_Site2_0hr",0.661089866156788,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Eukaryota","Ascomycota"
"85","x300","X3300045928_PreDrought_Site1_0hr",0.659549913444893,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Eukaryota","Ascomycota"
"108","x300","X3300045977_Drought_Site1_0hr",0.658260869565217,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Eukaryota","Ascomycota"
"107","x300","X3300049732_PreDrought_0hr",0.658179848320693,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Eukaryota","Ascomycota"
"97","x300","X3300045965_PreDrought_Site3_48hr",0.650992685475444,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Eukaryota","Ascomycota"
"102","x300","X3300046482_Drought_Site3_6hr",0.649762282091918,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Eukaryota","Ascomycota"
"92","x300","X3300045964_Drought_Site1_6hr",0.648520710059172,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Eukaryota","Ascomycota"
"90","x300","X3300045952_Drought_Site2_6hr",0.64816472694718,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Eukaryota","Ascomycota"
"75","x300","X3300045926_Drought_Site2_48hr",0.645206438068579,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Eukaryota","Ascomycota"
"103","x300","X3300049731_Drought_Site1_48hr",0.644639244774107,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Eukaryota","Ascomycota"
"81","x300","X3300045936_Drought_Site2_0hr",0.642424242424242,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Eukaryota","Ascomycota"
"82","x300","X3300045930_PreDrought_Site2_6hr",0.641967213114754,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Eukaryota","Ascomycota"
"98","x300","X3300045947_Drought_Site3_6hr",0.631433314886552,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Eukaryota","Ascomycota"
"80","x300","X3300045927_Drought_Site2_6hr",0.629128316188414,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Eukaryota","Ascomycota"
"100","x300","X3300049733_Drought_Site2_48hr",0.628276409849087,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Eukaryota","Ascomycota"
"78","x300","X3300045910_PreDrought_Site1_0hr",0.626788780767029,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Eukaryota","Ascomycota"
"93","x300","X3300045946_Drought_Site3_48hr",0.625519287833828,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Eukaryota","Ascomycota"
"99","x300","X3300045968_PreDrought_Site3_48hr",0.622757847533632,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Eukaryota","Ascomycota"
"95","x300","X3300045953_Drought_Site3_48hr",0.621605310802655,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Eukaryota","Ascomycota"
"96","x300","X3300045944_PreDrought_Site2_48hr",0.619481110605371,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Eukaryota","Ascomycota"
"89","x300","X3300045966_PreDrought_Site3_0hr",0.615077098800685,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Eukaryota","Ascomycota"
"94","x300","X3300045967_PreDrought_Site3_6hr",0.614203454894434,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Eukaryota","Ascomycota"
"105","x300","X3300049734_Drought_Site3_0hr",0.608175473579262,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Eukaryota","Ascomycota"
"84","x300","X3300045933_PreDrought_Site2_48hr",0.606591865357644,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Eukaryota","Ascomycota"
