"","OTU","Sample","Abundance","Condition","Site","Time","Condition_Time","Kingdom","Phylum","sub_kingdom"
"1","x1128","X3300048096.Drought_48_hr",0.08897476076737,"Drought","Site1","48hr","Drought_48hr","Eukaryota","Ascomycota","fungi"
"2","x1128","X3300045468.Pre_Drought_48hr",0.0562624449536254,"PreDrought","Site2","48hr","PreDrought_48hr","Eukaryota","Ascomycota","fungi"
"3","x1128","X3300045465.Drought_48_hr",0.0233529397797672,"Drought","Site2","48hr","Drought_48hr","Eukaryota","Ascomycota","fungi"
"4","x1128","X3300049557.Drought_48_hr",0.0226164532641847,"Drought","Site3","48hr","Drought_48hr","Eukaryota","Ascomycota","fungi"
"5","x1128","X3300045462.Pre_drought_6hr",0.0117350593766274,"PreDrought","Site2","6hr","PreDrought_6hr","Eukaryota","Ascomycota","fungi"
"6","x1128","X3300045460.Drought_48_hr",0.0113954657071214,"Drought","Site1","48hr","Drought_48hr","Eukaryota","Ascomycota","fungi"
"7","x1128","X3300045473.Drought_48_hr",0.00711459339223906,"Drought","Site2","48hr","Drought_48hr","Eukaryota","Ascomycota","fungi"
"8","x1198","X3300048100.Pre_drought_6hr",0.00617179344409256,"PreDrought","Site1","6hr","PreDrought_6hr","Eukaryota","Chytridiomycota","fungi"
"9","x1198","X3300045458.Pre_Drought_48hr",0.00512802411737334,"PreDrought","Site1","48hr","PreDrought_48hr","Eukaryota","Chytridiomycota","fungi"
"10","x1128","X3300045464.Drought_0hr",0.0048183284752055,"Drought","Site2","0hr","Drought_0hr","Eukaryota","Ascomycota","fungi"
"11","x1128","X3300045470.Drought_6hr",0.00452097421900805,"Drought","Site2","6hr","Drought_6hr","Eukaryota","Ascomycota","fungi"
"12","x3004","X3300048052.Pre_drought_0hr",0.00449676949114853,"PreDrought","Site3","0hr","PreDrought_0hr","Eukaryota","Basidiomycota","fungi"
"13","x1128","X3300045463.Pre_Drought_48hr",0.00323025324589552,"PreDrought","Site2","48hr","PreDrought_48hr","Eukaryota","Ascomycota","fungi"
"14","x1128","X3300049512.Drought_0hr",0.00222542989673853,"Drought","Site3","0hr","Drought_0hr","Eukaryota","Ascomycota","fungi"
"15","x3004","X3300045465.Drought_48_hr",0.00186112209900624,"Drought","Site2","48hr","Drought_48hr","Eukaryota","Basidiomycota","fungi"
"16","x3004","X3300045461.Pre_drought_0hr",0.00182202505847768,"PreDrought","Site2","0hr","PreDrought_0hr","Eukaryota","Basidiomycota","fungi"
"17","x1128","X3300045459.Drought_6hr",0.00161365485870087,"Drought","Site1","6hr","Drought_6hr","Eukaryota","Ascomycota","fungi"
"18","x1128","X3300044945.Drought_6hr",0.00145857051985884,"Drought","Site3","6hr","Drought_6hr","Eukaryota","Ascomycota","fungi"
"19","x3004","X3300045471.Drought_6hr",0.0014373165168766,"Drought","Site3","6hr","Drought_6hr","Eukaryota","Basidiomycota","fungi"
"20","x3004","X3300045467.Pre_drought_6hr",0.00119678589331321,"PreDrought","Site2","6hr","PreDrought_6hr","Eukaryota","Basidiomycota","fungi"
"21","x1128","X3300048052.Pre_drought_0hr",0.00118596118447873,"PreDrought","Site3","0hr","PreDrought_0hr","Eukaryota","Ascomycota","fungi"
"22","x1128","X3300048053.Pre_Drought_48hr",0.00115083075595195,"PreDrought","Site3","48hr","PreDrought_48hr","Eukaryota","Ascomycota","fungi"
"23","x3004","X3300045463.Pre_Drought_48hr",0.00113890635195409,"PreDrought","Site2","48hr","PreDrought_48hr","Eukaryota","Basidiomycota","fungi"
"24","x1198","X3300045470.Drought_6hr",0.00110355857656937,"Drought","Site2","6hr","Drought_6hr","Eukaryota","Chytridiomycota","fungi"
"25","x3004","X3300045466.Pre_drought_0hr",0.00106988178934795,"PreDrought","Site2","0hr","PreDrought_0hr","Eukaryota","Basidiomycota","fungi"
"26","x1128","X3300045469.Drought_0hr",0.00106369711330645,"Drought","Site2","0hr","Drought_0hr","Eukaryota","Ascomycota","fungi"
"27","x3004","X3300045470.Drought_6hr",0.00105766389096535,"Drought","Site2","6hr","Drought_6hr","Eukaryota","Basidiomycota","fungi"
"28","x3004","X3300048054.Drought_0hr",0.00105509782929138,"Drought","Site3","0hr","Drought_0hr","Eukaryota","Basidiomycota","fungi"
"29","x3004","X3300048053.Pre_Drought_48hr",0.00103967096702478,"PreDrought","Site3","48hr","PreDrought_48hr","Eukaryota","Basidiomycota","fungi"
"30","x3004","X3300045464.Drought_0hr",0.000926613197185454,"Drought","Site2","0hr","Drought_0hr","Eukaryota","Basidiomycota","fungi"
"31","x1128","X3300044944.Pre_drought_0hr",0.000918670676571375,"PreDrought","Site3","0hr","PreDrought_0hr","Eukaryota","Ascomycota","fungi"
"32","x1128","X3300045471.Drought_6hr",0.000889202236587573,"Drought","Site3","6hr","Drought_6hr","Eukaryota","Ascomycota","fungi"
"33","x3004","X3300049557.Drought_48_hr",0.000822797565465074,"Drought","Site3","48hr","Drought_48hr","Eukaryota","Basidiomycota","fungi"
"34","x3004","X3300045468.Pre_Drought_48hr",0.000813791750113989,"PreDrought","Site2","48hr","PreDrought_48hr","Eukaryota","Basidiomycota","fungi"
"35","x3004","X3300044944.Pre_drought_0hr",0.000805576748584369,"PreDrought","Site3","0hr","PreDrought_0hr","Eukaryota","Basidiomycota","fungi"
"36","x3004","X3300049512.Drought_0hr",0.000781342158102556,"Drought","Site3","0hr","Drought_0hr","Eukaryota","Basidiomycota","fungi"
"37","x3004","X3300044945.Drought_6hr",0.00075521540250469,"Drought","Site3","6hr","Drought_6hr","Eukaryota","Basidiomycota","fungi"
"38","x1128","X3300048094.Pre_Drought_48hr",0.000728521535419088,"PreDrought","Site1","48hr","PreDrought_48hr","Eukaryota","Ascomycota","fungi"
