"","SampleID","ME.brown","Condition","Site","Time","Condition_Time"
"1","X3300044942_Site3_PreDrought_6hr",0.0891437173581857,"PreDrought","Site3","6hr","PreDrought_6hr"
"2","X3300044943_Site3_PreDrought_48hr",0.152217862495259,"PreDrought","Site3","48hr","PreDrought_48hr"
"3","X3300044944_Site3_PreDrought_0hr",0.229746174797592,"PreDrought","Site3","0hr","PreDrought_0hr"
"4","X3300044945_Site3_Drought_6hr",-0.163740941872239,"Drought","Site3","6hr","Drought_6hr"
"5","X3300045458_Site1_PreDrought_48hr",0.0827868458146827,"PreDrought","Site1","48hr","PreDrought_48hr"
"6","X3300045459_Site1_Drought_6hr",-0.357781411151203,"Drought","Site1","6hr","Drought_6hr"
"7","X3300045460_Site1_Drought_48hr",-0.257341903834251,"Drought","Site1","48hr","Drought_48hr"
"8","X3300045461_Site2_PreDrought_0hr",0.207377023037757,"PreDrought","Site2","0hr","PreDrought_0hr"
"9","X3300045462_Site2_PreDrought_6hr",0.113339305123533,"PreDrought","Site2","6hr","PreDrought_6hr"
"10","X3300045463_Site2_PreDrought_48hr",0.120373954085421,"PreDrought","Site2","48hr","PreDrought_48hr"
"11","X3300045464_Site2_Drought_0hr",-0.250494978437448,"Drought","Site2","0hr","Drought_0hr"
"12","X3300045465_Site2_Drought_48hr",-0.273494505229483,"Drought","Site2","48hr","Drought_48hr"
"13","X3300045466_Site2_Pre_drought_0hr",0.23812908214726,"PreDrought","Site2","0hr","PreDrought_0hr"
"14","X3300045467_Site2_PreDrought_6hr",0.120471228145621,"PreDrought","Site2","6hr","PreDrought_6hr"
"15","X3300045468_Site2_PreDrought_48hr",-0.403977334348289,"PreDrought","Site2","48hr","PreDrought_48hr"
"16","X3300045469_Site2_Drought_0hr",-0.0600344364060712,"Drought","Site2","0hr","Drought_0hr"
"17","X3300045470_Site2_Drought_6hr",-0.0250813616973101,"Drought","Site2","6hr","Drought_6hr"
"18","X3300045471_Site3_Drought_6hr",-0.0177151732780661,"Drought","Site3","6hr","Drought_6hr"
"19","X3300045472_Site3_Drought_48hr",0.105395521076097,"Drought","Site3","48hr","Drought_48hr"
"20","X3300045473_Site2_Drought_48hr",-0.06805822200162,"Drought","Site2","48hr","Drought_48hr"
"21","X3300048052_Site3_PreDrought_0hr",0.142404755696117,"PreDrought","Site3","0hr","PreDrought_0hr"
"22","X3300048053_Site3_PreDrought_48hr",-0.0705586236873093,"PreDrought","Site3","48hr","PreDrought_48hr"
"23","X3300048054_Site3_Drought_0hr",-0.204944251571815,"Drought","Site3","0hr","Drought_0hr"
"24","X3300048092_Site1_PreDrought_0hr",0.164658117565262,"PreDrought","Site1","0hr","PreDrought_0hr"
"25","X3300048093_Site1_PreDrought_6hr",0.121527144781045,"PreDrought","Site1","6hr","PreDrought_6hr"
"26","X3300048094_Site1_PreDrought_48hr",0.152108959693057,"PreDrought","Site1","48hr","PreDrought_48hr"
"27","X3300048095_Site1_Drought_6hr",-0.036095180452724,"Drought","Site1","6hr","Drought_6hr"
"28","X3300048096_Site1_Drought_48hr",-0.0796785028751663,"Drought","Site1","48hr","Drought_48hr"
"29","X3300048099_Site1_PreDrought_0hr",0.188627873675767,"PreDrought","Site1","0hr","PreDrought_0hr"
"30","X3300048100_Site1_PreDrought_6hr",0.100234889325682,"PreDrought","Site1","6hr","PreDrought_6hr"
"31","X3300049511_Site2_Drought_6hr",0.101176611119824,"Drought","Site2","6hr","Drought_6hr"
"32","X3300049512_Site3_Drought_0hr",-0.0716511824943758,"Drought","Site3","0hr","Drought_0hr"
"33","X3300049557_Site3_Drought_48hr",-0.146311299094403,"Drought","Site3","48hr","Drought_48hr"
"34","X3300049628_Site1_Drought_0hr",0.0572402424936105,"Drought","Site1","0hr","Drought_0hr"
