"","SampleID","ME.green","Condition","Site","Time","Condition_Time"
"1","X3300044942_Site3_PreDrought_6hr",-0.0337581254698553,"PreDrought","Site3","6hr","PreDrought_6hr"
"2","X3300044943_Site3_PreDrought_48hr",-0.106153453423658,"PreDrought","Site3","48hr","PreDrought_48hr"
"3","X3300044944_Site3_PreDrought_0hr",-0.105833680125864,"PreDrought","Site3","0hr","PreDrought_0hr"
"4","X3300044945_Site3_Drought_6hr",-0.014884429038798,"Drought","Site3","6hr","Drought_6hr"
"5","X3300045458_Site1_PreDrought_48hr",-0.00701401982346714,"PreDrought","Site1","48hr","PreDrought_48hr"
"6","X3300045459_Site1_Drought_6hr",0.155490950907902,"Drought","Site1","6hr","Drought_6hr"
"7","X3300045460_Site1_Drought_48hr",0.354693903653185,"Drought","Site1","48hr","Drought_48hr"
"8","X3300045461_Site2_PreDrought_0hr",-0.123268845127592,"PreDrought","Site2","0hr","PreDrought_0hr"
"9","X3300045462_Site2_PreDrought_6hr",-0.0766029096461424,"PreDrought","Site2","6hr","PreDrought_6hr"
"10","X3300045463_Site2_PreDrought_48hr",-0.0899843553545943,"PreDrought","Site2","48hr","PreDrought_48hr"
"11","X3300045464_Site2_Drought_0hr",0.221283270731587,"Drought","Site2","0hr","Drought_0hr"
"12","X3300045465_Site2_Drought_48hr",0.464492318893701,"Drought","Site2","48hr","Drought_48hr"
"13","X3300045466_Site2_Pre_drought_0hr",-0.190103201246622,"PreDrought","Site2","0hr","PreDrought_0hr"
"14","X3300045467_Site2_PreDrought_6hr",-0.0961176963793349,"PreDrought","Site2","6hr","PreDrought_6hr"
"15","X3300045468_Site2_PreDrought_48hr",-0.106502673051326,"PreDrought","Site2","48hr","PreDrought_48hr"
"16","X3300045469_Site2_Drought_0hr",0.00764995380205667,"Drought","Site2","0hr","Drought_0hr"
"17","X3300045470_Site2_Drought_6hr",-0.0629796045256126,"Drought","Site2","6hr","Drought_6hr"
"18","X3300045471_Site3_Drought_6hr",-0.0687809498777212,"Drought","Site3","6hr","Drought_6hr"
"19","X3300045472_Site3_Drought_48hr",-0.113978396590712,"Drought","Site3","48hr","Drought_48hr"
"20","X3300045473_Site2_Drought_48hr",0.143629361581665,"Drought","Site2","48hr","Drought_48hr"
"21","X3300048052_Site3_PreDrought_0hr",-0.230628706018515,"PreDrought","Site3","0hr","PreDrought_0hr"
"22","X3300048053_Site3_PreDrought_48hr",-0.209256227608467,"PreDrought","Site3","48hr","PreDrought_48hr"
"23","X3300048054_Site3_Drought_0hr",-0.200379264384797,"Drought","Site3","0hr","Drought_0hr"
"24","X3300048092_Site1_PreDrought_0hr",-0.107194697305086,"PreDrought","Site1","0hr","PreDrought_0hr"
"25","X3300048093_Site1_PreDrought_6hr",-0.0584109090105337,"PreDrought","Site1","6hr","PreDrought_6hr"
"26","X3300048094_Site1_PreDrought_48hr",-0.0616354811644763,"PreDrought","Site1","48hr","PreDrought_48hr"
"27","X3300048095_Site1_Drought_6hr",0.00383841692776265,"Drought","Site1","6hr","Drought_6hr"
"28","X3300048096_Site1_Drought_48hr",0.33391824215575,"Drought","Site1","48hr","Drought_48hr"
"29","X3300048099_Site1_PreDrought_0hr",-0.00982192712857909,"PreDrought","Site1","0hr","PreDrought_0hr"
"30","X3300048100_Site1_PreDrought_6hr",0.0270561994863007,"PreDrought","Site1","6hr","PreDrought_6hr"
"31","X3300049511_Site2_Drought_6hr",-0.0509377844541517,"Drought","Site2","6hr","Drought_6hr"
"32","X3300049512_Site3_Drought_0hr",0.0944963375631794,"Drought","Site3","0hr","Drought_0hr"
"33","X3300049557_Site3_Drought_48hr",0.385773884130217,"Drought","Site3","48hr","Drought_48hr"
"34","X3300049628_Site1_Drought_0hr",-0.0680955030774002,"Drought","Site1","0hr","Drought_0hr"
