"","SampleID","ME.magenta","Condition","Site","Time","Condition_Time"
"1","X3300044942_Site3_PreDrought_6hr",0.0187310354759067,"PreDrought","Site3","6hr","PreDrought_6hr"
"2","X3300044943_Site3_PreDrought_48hr",-0.0144404990675565,"PreDrought","Site3","48hr","PreDrought_48hr"
"3","X3300044944_Site3_PreDrought_0hr",0.113318745380506,"PreDrought","Site3","0hr","PreDrought_0hr"
"4","X3300044945_Site3_Drought_6hr",0.0960984211569952,"Drought","Site3","6hr","Drought_6hr"
"5","X3300045458_Site1_PreDrought_48hr",-0.137531683784161,"PreDrought","Site1","48hr","PreDrought_48hr"
"6","X3300045459_Site1_Drought_6hr",-0.281362400140498,"Drought","Site1","6hr","Drought_6hr"
"7","X3300045460_Site1_Drought_48hr",-0.231765892449191,"Drought","Site1","48hr","Drought_48hr"
"8","X3300045461_Site2_PreDrought_0hr",0.0239140206754749,"PreDrought","Site2","0hr","PreDrought_0hr"
"9","X3300045462_Site2_PreDrought_6hr",-0.0370595579968811,"PreDrought","Site2","6hr","PreDrought_6hr"
"10","X3300045463_Site2_PreDrought_48hr",-0.0885497823826671,"PreDrought","Site2","48hr","PreDrought_48hr"
"11","X3300045464_Site2_Drought_0hr",-0.140042106291238,"Drought","Site2","0hr","Drought_0hr"
"12","X3300045465_Site2_Drought_48hr",-0.0950031744680481,"Drought","Site2","48hr","Drought_48hr"
"13","X3300045466_Site2_Pre_drought_0hr",0.0126265637576111,"PreDrought","Site2","0hr","PreDrought_0hr"
"14","X3300045467_Site2_PreDrought_6hr",0.0364779748779797,"PreDrought","Site2","6hr","PreDrought_6hr"
"15","X3300045468_Site2_PreDrought_48hr",-0.202034873234161,"PreDrought","Site2","48hr","PreDrought_48hr"
"16","X3300045469_Site2_Drought_0hr",0.56871899318608,"Drought","Site2","0hr","Drought_0hr"
"17","X3300045470_Site2_Drought_6hr",0.130894025812712,"Drought","Site2","6hr","Drought_6hr"
"18","X3300045471_Site3_Drought_6hr",0.122827175339712,"Drought","Site3","6hr","Drought_6hr"
"19","X3300045472_Site3_Drought_48hr",-0.00813316785792841,"Drought","Site3","48hr","Drought_48hr"
"20","X3300045473_Site2_Drought_48hr",0.0207548663522446,"Drought","Site2","48hr","Drought_48hr"
"21","X3300048052_Site3_PreDrought_0hr",0.053620077105043,"PreDrought","Site3","0hr","PreDrought_0hr"
"22","X3300048053_Site3_PreDrought_48hr",-0.244209271220667,"PreDrought","Site3","48hr","PreDrought_48hr"
"23","X3300048054_Site3_Drought_0hr",0.407918105413244,"Drought","Site3","0hr","Drought_0hr"
"24","X3300048092_Site1_PreDrought_0hr",-0.0954148588597986,"PreDrought","Site1","0hr","PreDrought_0hr"
"25","X3300048093_Site1_PreDrought_6hr",-0.0927106539286893,"PreDrought","Site1","6hr","PreDrought_6hr"
"26","X3300048094_Site1_PreDrought_48hr",-0.102140502876678,"PreDrought","Site1","48hr","PreDrought_48hr"
"27","X3300048095_Site1_Drought_6hr",-0.011685531159289,"Drought","Site1","6hr","Drought_6hr"
"28","X3300048096_Site1_Drought_48hr",-0.0119591294656689,"Drought","Site1","48hr","Drought_48hr"
"29","X3300048099_Site1_PreDrought_0hr",-0.121321007860021,"PreDrought","Site1","0hr","PreDrought_0hr"
"30","X3300048100_Site1_PreDrought_6hr",-0.175353971227599,"PreDrought","Site1","6hr","PreDrought_6hr"
"31","X3300049511_Site2_Drought_6hr",0.00958869248075435,"Drought","Site2","6hr","Drought_6hr"
"32","X3300049512_Site3_Drought_0hr",0.221526787921469,"Drought","Site3","0hr","Drought_0hr"
"33","X3300049557_Site3_Drought_48hr",0.174501911450401,"Drought","Site3","48hr","Drought_48hr"
"34","X3300049628_Site1_Drought_0hr",0.0792006678846074,"Drought","Site1","0hr","Drought_0hr"
