"","SampleID","ME.pink","Condition","Site","Time","Condition_Time"
"1","X3300044942_Site3_PreDrought_6hr",-0.120095055351245,"PreDrought","Site3","6hr","PreDrought_6hr"
"2","X3300044943_Site3_PreDrought_48hr",-0.153291398610729,"PreDrought","Site3","48hr","PreDrought_48hr"
"3","X3300044944_Site3_PreDrought_0hr",-0.132903153877131,"PreDrought","Site3","0hr","PreDrought_0hr"
"4","X3300044945_Site3_Drought_6hr",0.204711188460656,"Drought","Site3","6hr","Drought_6hr"
"5","X3300045458_Site1_PreDrought_48hr",-0.107159993078557,"PreDrought","Site1","48hr","PreDrought_48hr"
"6","X3300045459_Site1_Drought_6hr",0.0483491090252524,"Drought","Site1","6hr","Drought_6hr"
"7","X3300045460_Site1_Drought_48hr",0.186417748118054,"Drought","Site1","48hr","Drought_48hr"
"8","X3300045461_Site2_PreDrought_0hr",-0.198517154963743,"PreDrought","Site2","0hr","PreDrought_0hr"
"9","X3300045462_Site2_PreDrought_6hr",-0.153313976037223,"PreDrought","Site2","6hr","PreDrought_6hr"
"10","X3300045463_Site2_PreDrought_48hr",-0.131200486558733,"PreDrought","Site2","48hr","PreDrought_48hr"
"11","X3300045464_Site2_Drought_0hr",0.0527309417888277,"Drought","Site2","0hr","Drought_0hr"
"12","X3300045465_Site2_Drought_48hr",0.138351093960036,"Drought","Site2","48hr","Drought_48hr"
"13","X3300045466_Site2_Pre_drought_0hr",-0.170869532664017,"PreDrought","Site2","0hr","PreDrought_0hr"
"14","X3300045467_Site2_PreDrought_6hr",-0.073604866352715,"PreDrought","Site2","6hr","PreDrought_6hr"
"15","X3300045468_Site2_PreDrought_48hr",0.135350003042718,"PreDrought","Site2","48hr","PreDrought_48hr"
"16","X3300045469_Site2_Drought_0hr",0.287264024765883,"Drought","Site2","0hr","Drought_0hr"
"17","X3300045470_Site2_Drought_6hr",0.0350423511096342,"Drought","Site2","6hr","Drought_6hr"
"18","X3300045471_Site3_Drought_6hr",0.0237144874367551,"Drought","Site3","6hr","Drought_6hr"
"19","X3300045472_Site3_Drought_48hr",-0.001526753523062,"Drought","Site3","48hr","Drought_48hr"
"20","X3300045473_Site2_Drought_48hr",0.155522016807214,"Drought","Site2","48hr","Drought_48hr"
"21","X3300048052_Site3_PreDrought_0hr",-0.230443806677643,"PreDrought","Site3","0hr","PreDrought_0hr"
"22","X3300048053_Site3_PreDrought_48hr",-0.29297463422964,"PreDrought","Site3","48hr","PreDrought_48hr"
"23","X3300048054_Site3_Drought_0hr",0.249373732038928,"Drought","Site3","0hr","Drought_0hr"
"24","X3300048092_Site1_PreDrought_0hr",-0.17698759692238,"PreDrought","Site1","0hr","PreDrought_0hr"
"25","X3300048093_Site1_PreDrought_6hr",-0.0878141208466026,"PreDrought","Site1","6hr","PreDrought_6hr"
"26","X3300048094_Site1_PreDrought_48hr",-0.126288149334481,"PreDrought","Site1","48hr","PreDrought_48hr"
"27","X3300048095_Site1_Drought_6hr",0.118828799802493,"Drought","Site1","6hr","Drought_6hr"
"28","X3300048096_Site1_Drought_48hr",0.192102830131477,"Drought","Site1","48hr","Drought_48hr"
"29","X3300048099_Site1_PreDrought_0hr",-0.156212512168404,"PreDrought","Site1","0hr","PreDrought_0hr"
"30","X3300048100_Site1_PreDrought_6hr",-0.161700512107123,"PreDrought","Site1","6hr","PreDrought_6hr"
"31","X3300049511_Site2_Drought_6hr",-0.141196797084867,"Drought","Site2","6hr","Drought_6hr"
"32","X3300049512_Site3_Drought_0hr",0.321709768159765,"Drought","Site3","0hr","Drought_0hr"
"33","X3300049557_Site3_Drought_48hr",0.248529569138428,"Drought","Site3","48hr","Drought_48hr"
"34","X3300049628_Site1_Drought_0hr",0.218102836602175,"Drought","Site1","0hr","Drought_0hr"
