"","p.Weighted","q.Weighted","cor.Weighted","Z.Weighted","p.Standard","q.Standard","cor.Standard","Z.Standard"
"KO:K00001",0.865913468559551,0.999932788867681,-0.0300762532177559,-0.170213984410371,0.460008659996,0.292649936588795,-0.131062951496388,-0.747854975357985
"KO:K00003",0.400719035536615,0.81107810462203,0.148879790282915,0.851683024532468,0.0717728029744342,0.080208617619165,0.312693498452012,1.86224555968387
"KO:K00004",0.504132083440189,0.915543701195391,0.118591976833205,0.675625368091149,0.38427637497734,0.261238693993627,0.15408068187776,0.882146313788952
"KO:K00008",0.0122474982682643,0.0510312427844347,0.424908820515866,2.65527095525684,0.0800173349807405,0.0875873160596976,0.304437564499484,1.80797957506731
"KO:K00009",0.000100277998051013,0.000778711908712774,0.617427273159832,4.44008632983547,0.000413101109203007,0.00203604881616415,0.571644677033068,3.94114021355518
"KO:K00010",0.942145104117624,0.999932788867681,0.0129294587105322,0.0731461776621192,0.469811308442238,0.296907530891675,-0.128240293715371,-0.731476358921614
"KO:K00012",0.790180177336131,0.999932788867681,0.0473783094719125,0.268313502678013,0.921552371434923,0.44703775132568,-0.0175438596491228,-0.099258333397093
"KO:K00013",0.628913882502405,0.999932788867681,-0.0859386029238077,-0.487947344123264,0.182360555921459,0.154994446082086,-0.234262125902993,-1.36311753291512
"KO:K00014",0.759217040349577,0.999932788867681,0.0545677728517629,0.309142538751688,0.597115129623632,0.345792523587284,0.0939597440650163,0.53387845720599
"KO:K00015",0.565349436510583,0.963381295724938,-0.102159601174244,-0.580941447399163,0.366798830129329,0.25278343192442,-0.159753186205749,-0.915457724549489
"KO:K00016",0.916608376525999,0.999932788867681,0.0186532648544477,0.105537162682732,0.425052753444972,0.279115051688211,-0.141401613029495,-0.808006915388456
"KO:K00018",0.88688980132252,0.999932788867681,-0.0253379619300734,-0.143379190610262,0.229031107499777,0.182338956630634,-0.211861329665817,-1.22630613412637
"KO:K00019",0.00535752784827581,0.0253484986716346,-0.467044477715357,-2.98790033382465,0.00135182773345899,0.00477951282014618,-0.52734778121775,-3.51101182851257
"KO:K00020",0.00692279907914317,0.0313752589844208,-0.454526347270749,-2.88659840005796,0.00142308999366958,0.00495420856326797,-0.525283797729618,-3.49201932644851
"KO:K00021",0.43926915941679,0.851083996370031,0.137142964186113,0.783197990490731,0.847827173856886,0.427058617915086,0.034177946071995,0.193452681625853
"KO:K00023",0.0192090304680561,0.0760448374632831,-0.399609855355322,-2.46598770130333,0.011955905143616,0.023069291202156,-0.426212590299278,-2.66522343618091
"KO:K00024",0.40898582751875,0.816721003853534,0.146311186411029,0.836664728138847,0.706224176825197,0.384084151166292,-0.0670794633642931,-0.380315355916296
"KO:K00026",2.64480570777437e-09,8.19889769410054e-08,0.821390059530499,8.14648267043425,0.000190854862747614,0.00126337509360562,0.597468461211153,4.21476991165415
