"","p.Weighted","q.Weighted","cor.Weighted","Z.Weighted","p.Standard","q.Standard","cor.Standard","Z.Standard"
"KO:K00001",0.666814659491348,0.999845537267913,-0.0765904098493136,-0.434537177324027,0.624800915613743,0.381487256262762,-0.0869663939818345,-0.493827205242381
"KO:K00003",0.823267599981951,0.999845537267913,-0.0397758796157852,-0.225184558709713,0.826728250870408,0.440023833843737,-0.0389849352332361,-0.22069987292376
"KO:K00004",0.993833791890166,0.999845537267913,0.00137689118084135,0.00778888011062814,0.823695201928228,0.440023833843737,-0.0396781094393962,-0.224630175168721
"KO:K00008",0.00308844087157123,0.0193339392202561,0.492482164187472,3.20099699327441,0.034990325267704,0.0626581446587142,0.362748883317369,2.20200273141154
"KO:K00009",0.00377759433042968,0.0229438527122492,0.483400698193036,3.12374889506789,0.00943360296956808,0.0259102502222773,0.438777495580798,2.7621990864533
"KO:K00010",0.990967388201403,0.999845537267913,-0.0020169702983433,-0.0114097302116632,0.75658896656463,0.419984733632666,-0.0551817626207476,-0.312631536999753
"KO:K00012",0.497106534450835,0.999630420859878,0.120538951885542,0.686879597287345,0.387992525515241,0.285331166673168,0.152894157431288,0.875189948987367
"KO:K00013",0.683502639888593,0.999845537267913,-0.0725389719294219,-0.41142626172501,0.213538649385631,0.197962891565418,-0.21891540554048,-1.26915742513138
"KO:K00014",0.955135528587217,0.999845537267913,0.0100230059690491,0.056701532116586,0.852488930362448,0.449001306276459,0.0331191618402737,0.187453106279596
"KO:K00015",0.284722474519767,0.730178417448111,-0.188871228225091,-1.08799896428893,0.13451977979924,0.147788067094449,-0.261942461827619,-1.53538045202018
"KO:K00016",0.541876307973034,0.999845537267913,-0.108354569995312,-0.616576218663552,0.138770113953701,0.150453901848292,-0.259217429756041,-1.51825055434296
"KO:K00018",0.685762321758594,0.999845537267913,-0.0719931704560312,-0.408314397043225,0.685295047084639,0.40093040142489,-0.0721059823560622,-0.408957559133347
"KO:K00019",0.000859097698943101,0.00636520761645223,-0.545015728619244,-3.67721802826449,0.000910828033540367,0.00469100720899727,-0.542790252093519,-3.65591293984608
"KO:K00020",0.0322496300024331,0.143315040271965,-0.367998615442998,-2.23882078434202,0.00437066431365651,0.0149957392313754,-0.476670020226956,-3.06734969713199
"KO:K00021",0.865052208516476,0.999845537267913,0.0302712131758095,0.171318352354102,0.558572901837147,0.357076710417746,-0.103935553952797,-0.591149927980848
"KO:K00023",4.30749439317424e-06,5.3843679914678e-05,-0.698739539674055,-5.52529974362121,0.000664444878041293,0.00369700585081091,-0.554616061270357,-3.77041001651375
"KO:K00024",0.811099430991421,0.999845537267913,-0.0425630106304862,-0.240991137472512,0.24047327422244,0.212213943440754,-0.206856801230566,-1.19602737605103
"KO:K00026",0.00629086072003693,0.0357435268183916,0.459255037345044,2.92460404230788,0.0264070581880831,0.0526294259411346,0.38053663824056,2.32776795571507
"KO:K00027",0.00525418895100982,0.0305247109222834,0.467977207188513,2.99553856331464,0.019502692879394,0.042877489071834,0.398723979183554,2.45948620889191
"KO:K00029",0.616238549013779,0.999845537267913,-0.0891150365058585,-0.506124470000182,0.095219125530168,0.11846768555258,-0.290798691584998,-1.71930693501457
"KO:K00030",0.997863960594116,0.999845537267913,-0.000476965621995569,-0.00269812531255406,0.986570599881616,0.483937268994815,-0.0029988411717874,-0.0169640837057624
"KO:K00031",0.669449253276724,0.999845537267913,0.0759483192827419,0.430873039396792,0.155880068899263,0.162236840246872,0.248827746407782,1.45329157825798
"KO:K00033",0.977664552705395,0.999845537267913,0.00498799491113145,0.0282167112288668,0.906196721314491,0.464205996390025,-0.0209918882025118,-0.118774224354297
