"","X3300044942_Site3_PreDrought_6hr","X3300044943_Site3_PreDrought_48hr","X3300044944_Site3_PreDrought_0hr","X3300044945_Site3_Drought_6hr","X3300045458_Site1_PreDrought_48hr","X3300045459_Site1_Drought_6hr","X3300045460_Site1_Drought_48hr","X3300045461_Site2_PreDrought_0hr","X3300045462_Site2_PreDrought_6hr","X3300045463_Site2_PreDrought_48hr","X3300045464_Site2_Drought_0hr","X3300045465_Site2_Drought_48hr","X3300045466_Site2_Pre_drought_0hr","X3300045467_Site2_PreDrought_6hr","X3300045468_Site2_PreDrought_48hr","X3300045469_Site2_Drought_0hr","X3300045470_Site2_Drought_6hr","X3300045471_Site3_Drought_6hr","X3300045472_Site3_Drought_48hr","X3300045473_Site2_Drought_48hr","X3300048051_Site1_Drought_0hr","X3300048052_Site3_PreDrought_0hr","X3300048053_Site3_PreDrought_48hr","X3300048054_Site3_Drought_0hr","X3300048092_Site1_PreDrought_0hr","X3300048093_Site1_PreDrought_6hr","X3300048094_Site1_PreDrought_48hr","X3300048095_Site1_Drought_6hr","X3300048096_Site1_Drought_48hr","X3300048099_Site1_PreDrought_0hr","X3300048100_Site1_PreDrought_6hr","X3300049511_Site2_Drought_6hr","X3300049512_Site3_Drought_0hr","X3300049557_Site3_Drought_48hr","X3300049628_Site1_Drought_0hr"
"KO:K00001",6.63886464414183,6.20805614900142,7.41565241314076,6.5806709130311,6.08229939842526,5.52729178233882,2.46316411113114,5.997482861483,5.72172015546142,6.7973732821243,4.36070585233085,4.94258223544789,7.50137393727346,4.61330349679379,2.46316411113114,7.70852558009741,5.9288633781438,5.46622778680065,7.3649116894834,5.53501125731085,8.51454658243239,6.29594666464591,4.96678684172673,2.46316411113114,6.00634901401313,7.64857479735219,6.94693162146323,7.39135813833493,6.27500772793805,6.14288001170294,5.67273985955415,5.74469709409952,6.8080369641056,6.41467501703245,8.19026298723963
"KO:K00003",7.01065319492698,6.51847577040893,5.67696131129462,4.20880731262672,7.46491850005904,4.70067866059632,7.31368206133418,5.1526590579512,7.36555694416598,5.77383274555606,5.50936003542555,6.63644308216039,5.01365587258683,7.06351842479721,2.46316411113114,5.80331793232177,6.99386765132513,7.14478009024379,6.91730821544854,6.72142794938519,2.46316411113114,2.46316411113114,6.68182137937637,2.46316411113114,6.73850286169487,7.89036883904685,6.99412107996082,6.58567422893379,6.54189376887982,6.41846343270593,7.02013656602125,13.25584329264,5.62892751703156,7.25693604640122,6.46444319326372
"KO:K00004",3.7535784027103,2.46316411113114,2.46316411113114,2.46316411113114,4.04803246918256,5.24426364649929,2.46316411113114,2.46316411113114,3.78708960073429,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,3.32483505882244,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,3.3224581328428,3.32154771909258,4.02961355674479,3.39289153327335,4.05500894537617,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,3.67012491803863,2.46316411113114
"KO:K00008",4.94395830152049,5.62006449777485,5.58814761561842,5.88478411280221,5.02489851727576,7.64389188471927,9.27061504804021,5.637630034295,4.61144338280678,5.63505988354211,6.89587990672108,8.7117468983286,6.57188713775356,3.96434009469184,8.03125400790858,6.54915978717287,4.74829374654152,4.49567496751083,4.39692875750117,6.23676342715618,6.86510133061435,2.46316411113114,5.51484049870122,6.96134302674628,6.16427852095172,6.98396476399507,6.79528312356254,6.03733850136877,8.06735361878136,5.43985844976954,5.03253742892031,4.83804505012228,7.57218512595433,7.32299380121902,7.33009982260657
"KO:K00009",2.94793787366115,2.46316411113114,3.9107665989914,2.46316411113114,2.46316411113114,2.46316411113114,7.87790368021554,2.46316411113114,2.46316411113114,2.46316411113114,3.24269239599754,7.5115428170913,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,6.03906353860894,2.46316411113114,2.46316411113114,2.46316411113114,6.24170923410291,2.46316411113114,2.46316411113114,3.32914715502213,2.46316411113114,6.17920485165376,2.46316411113114,2.46316411113114,2.46316411113114,5.71187418611806,6.46583907153791,4.81026502554742
"KO:K00010",4.14007417386905,3.94852917861657,2.46316411113114,2.46316411113114,4.9283891821253,6.74975727579535,6.02637258562356,2.46316411113114,4.05944947653103,4.43376873848986,4.36070585233085,3.89784648667798,4.62082377085475,5.13716618858588,2.46316411113114,2.46316411113114,4.77863750124665,2.46316411113114,2.46316411113114,4.59501808487028,6.86510133061435,2.46316411113114,2.46316411113114,5.88997424488321,3.5622094722976,5.00890441597727,5.41132960990866,3.8302841914459,2.46316411113114,3.26350791601915,3.30911432508731,3.31139828821046,2.46316411113114,3.80355336300261,2.46316411113114
"KO:K00012",7.73965340516192,7.89562942606487,7.6287360068115,8.32459111614335,7.76787059656736,6.33984412691916,7.99289626796865,7.68962125669946,7.18512976796888,7.80625006102487,7.51968483361446,7.62410139126332,8.10874633487232,7.79789394589986,9.45202280472262,8.27149557937577,7.89609062628188,7.77387823683183,8.29550844012983,8.39009175463049,9.24904883565414,7.58510235463919,8.36268786172322,10.4938848766382,8.34832339717265,7.904971266939,8.02890246106044,7.71016415826733,7.98046996993388,7.96748659578584,7.91353879681826,7.50018357615171,8.81194319336612,8.54659218610911,8.42202175317046
"KO:K00013",6.76335590906993,6.05573364594771,8.21684196235607,4.07117881567572,6.37417719050005,4.70067866059632,5.50690060682235,5.52116467406327,6.48862114094365,3.83523985163358,4.89732252632045,2.46316411113114,6.35316948759906,5.73988052492867,6.71078591737533,5.86937447041784,6.93037082421778,6.30111306628355,6.87633675459909,5.49662318532224,9.24904883565414,2.46316411113114,7.25044963351094,2.46316411113114,6.20447644600192,7.21659987368706,6.18063764337006,6.4251872993216,6.4355211604398,5.77794442934774,4.94101996942597,6.47828355318598,5.34587840873725,5.59183408072314,6.62486221289343
"KO:K00014",4.41894559978416,5.34731877540843,4.9621050836674,3.7328365673616,6.43014530264188,2.46316411113114,2.46316411113114,4.48337256907908,5.05968038413076,4.57345297657255,5.83874699009888,2.46316411113114,2.46316411113114,5.70987229250286,5.78776945073389,4.94374693956543,3.78094456748309,5.08677560996958,7.4731779914889,4.98479426371822,10.127807611003,2.46316411113114,2.46316411113114,2.46316411113114,5.56447362579165,4.67342783477153,5.18158992137789,5.25105985675678,6.14578542175857,5.07158423742843,5.54422587272671,5.31065318130305,5.4945450182071,6.12714496818206,5.64659495982969
"KO:K00015",5.36612479720005,6.20805614900142,6.50203658808738,2.46316411113114,5.81325776431858,2.46316411113114,4.88286739502053,4.18997028214968,4.44655704130256,3.88327469675149,2.46316411113114,2.46316411113114,7.97069265550925,5.89442470442118,2.46316411113114,6.30983995675338,5.4138478100721,3.5592505751025,4.39692875750117,4.63225785521754,2.46316411113114,6.66252699344787,2.46316411113114,2.46316411113114,7.02610651068739,6.14792886804307,5.88593847946033,5.52113887263639,6.4355211604398,5.55280241175926,5.26033115321777,4.61474228873432,6.29746329989111,5.79360198406527,6.61215894289122
