"","pH","flux.acetate","log.flux.acetate","log.flux.acetone","log.flux.diacetyl","SM","ST"
"1",7.475,NA,NA,NA,NA,12.625,23.1
"2",7.475,NA,NA,NA,NA,12.625,23.1
"3",7.475,47.75086,NA,NA,NA,12.625,23.1
"4",7.475,16.2765366666667,NA,NA,NA,12.625,23.1
"5",7.475,5.1888875,NA,NA,NA,12.625,23.1
"6",7.475,-10.59316,NA,NA,NA,12.625,23.1
"7",7.475,-20.40465,NA,NA,NA,12.625,23.1
"8",7.475,NA,NA,NA,NA,12.625,23.1
"9",7.475,NA,NA,NA,NA,12.625,23.1
"10",7.475,NA,NA,NA,NA,12.625,23.1
"11",7.475,40.7974333333333,NA,NA,NA,12.625,23.1
"12",7.475,NA,NA,NA,NA,12.625,23.1
"13",7.4475,24.1315275,NA,NA,NA,15.1133333333333,23.22
"14",7.4475,335.31282,NA,NA,NA,15.1133333333333,23.22
"15",7.4475,74.16231,NA,NA,NA,15.1133333333333,23.22
"16",7.4475,86.18745,NA,NA,NA,15.1133333333333,23.22
"17",7.4475,163.898526666667,NA,NA,NA,15.1133333333333,23.22
"18",7.4475,-11.1853333333333,NA,NA,NA,15.1133333333333,23.22
"19",7.4475,-36.77345,NA,NA,NA,15.1133333333333,23.22
"20",7.4475,-21.895015,NA,NA,NA,15.1133333333333,23.22
"21",7.4475,158.95272,NA,NA,NA,15.1133333333333,23.22
"22",7.56333333333333,62.7964833333333,NA,NA,NA,13.4066666666667,23.6
"23",7.56333333333333,183.69064,NA,NA,NA,13.4066666666667,23.6
"24",7.56333333333333,47.6727866666667,NA,NA,NA,13.4066666666667,23.6
"25",7.56333333333333,203.30205,NA,NA,NA,13.4066666666667,23.6
"26",7.56333333333333,51.8871966666667,NA,NA,NA,13.4066666666667,23.6
"27",7.56333333333333,224.946265,NA,NA,NA,13.4066666666667,23.6
"28",7.56333333333333,NA,NA,NA,NA,13.4066666666667,23.6
"29",7.56333333333333,NA,NA,NA,NA,13.4066666666667,23.6
"30",7.56333333333333,NA,NA,NA,NA,13.4066666666667,23.6
"31",7.56333333333333,-16.6264633333333,NA,NA,NA,13.4066666666667,23.6
"32",7.56333333333333,457.0672,NA,NA,NA,13.4066666666667,23.6
"33",7.56333333333333,69.4806766666667,NA,NA,NA,13.4066666666667,23.6
"34",7.425,NA,NA,NA,NA,34.2333333333333,22.6
"35",7.425,NA,NA,NA,NA,34.2333333333333,22.6
"36",7.425,NA,NA,NA,NA,34.2333333333333,22.6
"37",7.425,7.00446,NA,NA,NA,34.2333333333333,22.6
"38",7.425,11.03952,NA,NA,NA,34.2333333333333,22.6
"39",7.425,0.6011,NA,NA,NA,34.2333333333333,22.6
"40",7.425,-13.7674125,NA,NA,NA,34.2333333333333,22.6
"41",7.425,11.89553,NA,NA,NA,34.2333333333333,22.6
"42",7.425,7.38624333333333,NA,NA,NA,34.2333333333333,22.6
"43",7.425,NA,NA,NA,NA,34.2333333333333,22.6
"44",7.425,NA,NA,NA,NA,34.2333333333333,22.6
"45",7.425,NA,NA,NA,NA,34.2333333333333,22.6
"46",7.425,4.975005,NA,NA,NA,34.2333333333333,22.6
"47",7.425,2.25449,NA,NA,NA,34.2333333333333,22.6
"48",7.425,-3.95414,NA,NA,NA,34.2333333333333,22.6
"49",7.61,-11.0617075,NA,NA,NA,27.5916666666667,22.95
"50",7.61,-12.74738,NA,NA,NA,27.5916666666667,22.95
"51",7.61,-6.6204125,NA,NA,NA,27.5916666666667,22.95
"52",7.61,-6.80728,NA,NA,NA,27.5916666666667,22.95
"53",7.61,-8.59364,NA,NA,NA,27.5916666666667,22.95
"54",7.61,-5.343215,NA,NA,NA,27.5916666666667,22.95
"55",7.61,-9.00272666666667,NA,NA,NA,27.5916666666667,22.95
"56",7.61,-1.04112333333333,NA,NA,NA,27.5916666666667,22.95
"57",7.61,-10.87382,NA,NA,NA,27.5916666666667,22.95
"58",7.395,-8.832675,NA,NA,NA,20.375,23.225
"59",7.395,-1.732135,NA,NA,NA,20.375,23.225
"60",7.395,-5.00018,NA,NA,NA,20.375,23.225
"61",7.395,-2.726015,NA,NA,NA,20.375,23.225
"62",7.395,-11.26166,NA,NA,NA,20.375,23.225
"63",7.395,-1.7501775,NA,NA,NA,20.375,23.225
"64",7.395,NA,NA,NA,NA,20.375,23.225
"65",7.395,NA,NA,NA,NA,20.375,23.225
"66",7.395,0.3157175,NA,NA,NA,20.375,23.225
"67",7.395,-14.27317,NA,NA,NA,20.375,23.225
"68",7.395,-2.3524,NA,NA,NA,20.375,23.225
