"","p.Weighted","q.Weighted","cor.Weighted","Z.Weighted","p.Standard","q.Standard","cor.Standard","Z.Standard"
"KO:K00001",0.0145214256042996,0.0593570930555495,-0.415551533829927,-2.58442494888994,0.00240826899310642,0.00630893559621451,-0.503369438961567,-3.29543124120768
"KO:K00003",0.498970540373296,0.892252350690596,0.120021036318534,0.683885076056802,0.0986728918213107,0.0928368524368397,0.287935605002707,1.70084074259492
"KO:K00004",0.58213305639472,0.949396293573038,0.0978023013908063,0.555918513722339,0.822918387770918,0.380514721879075,0.0398557346386892,0.225637363254427
"KO:K00008",0.0159134207632765,0.0641670192067601,0.410415566420832,2.54596402754628,0.1580993356409,0.129343314129361,0.247541761135421,1.44528907042419
"KO:K00009",0.00703338607469517,0.0321017326730787,0.45373711525563,2.88028530425947,0.0077530917333748,0.0146475552956652,0.448845143834938,2.84134334167655
"KO:K00010",0.937833178366322,0.999953272735984,0.0138948893138118,0.078608952461983,0.91041331816509,0.401881861830142,0.0200443799697685,0.113410921258706
"KO:K00012",0.76794377686059,0.999953272735984,0.0525333592553817,0.297584470186278,0.563901587322938,0.30403375538556,0.102538219047727,0.58311733345999
"KO:K00013",0.204691306739124,0.51155855810565,-0.223102532375791,-1.29469122182432,0.0118429813112559,0.0198908811999607,-0.426724709572357,-2.66913830357479
"KO:K00014",0.917485099526505,0.999953272735984,0.0184564839573449,0.104423426711695,0.43697671551926,0.258461579972,0.137824500213965,0.787165291038123
"KO:K00015",0.00102573178396126,0.00600409465687293,-0.53822054936012,-3.61250667755806,0.00108104326408753,0.00349604783552759,-0.536179727234683,-3.5932670946611
"KO:K00016",0.858379002232172,0.999953272735984,-0.0317829890425524,-0.179882614549379,0.801297781429504,0.375531987707051,-0.0448153059452445,-0.253768617885068
"KO:K00018",0.875936428757014,0.999953272735984,-0.027809858903785,-0.157377187122549,0.956736342616047,0.41481669836979,-0.00966503353660087,-0.0546762398249783
"KO:K00019",0.107168002009029,0.315559276432362,-0.281203792472753,-1.65761690197999,0.0622987071999479,0.0671571211803384,-0.32315075093829,-1.93165480675026
"KO:K00020",0.00015236295027643,0.00111187652037884,-0.604606898590783,-4.29387320597565,0.000111628346391335,0.00068189137081638,-0.614193574700019,-4.40268610247922
"KO:K00021",0.745324630683322,0.999953272735984,0.0578206214627985,0.327630958630034,0.623009380058759,0.32363488099172,0.0874149493265025,0.496393829862048
"KO:K00023",0.00627499657286945,0.0291204930776876,-0.459378890868041,-2.925603684997,0.00469336240336915,0.0101320004138595,-0.473332990957687,-3.03964769612687
"KO:K00024",0.506155560275501,0.898055309554747,0.11803375310894,0.672400094503935,0.866089331753363,0.390075628154167,-0.0300364480038795,-0.169988506646495
"KO:K00026",1.03882569213454e-09,3.59415139019762e-08,0.832408080243312,8.49715693664744,2.13104444668488e-06,4.2846928111705e-05,0.71391117365872,5.76732685810842
"KO:K00027",0.00340345785488516,0.0170834186368912,0.488133595842573,3.16383928645793,0.0224211601744608,0.0315871650000688,0.390473824050433,2.39932636073938
"KO:K00029",0.925669574470442,0.999953272735984,0.0166204779678028,0.0940326101154658,0.444205794393236,0.260539377035277,0.135681885810628,0.774696695357851
"KO:K00030",0.9848105715558,0.999953272735984,0.00339190545275356,0.0191876251516333,0.748968529886908,0.362892912182336,0.056965677248737,0.322770668655388
"KO:K00031",0.0120230948127831,0.0504761564458661,0.425909813019735,2.66291034548444,0.0398423935843275,0.0477217046409388,0.35422293852851,2.14271929556423
"KO:K00033",0.913520981006121,0.999953272735984,0.0193464064150154,0.109460287844909,0.72260799899675,0.354811124771807,-0.063180114766781,-0.358116166369363
"KO:K00034",7.00152917643138e-06,7.1774935340401e-05,-0.687698875648148,-5.35844835144931,8.22288930564241e-05,0.000551307377557405,-0.623319074275939,-4.50917038252634
"KO:K00036",0.277199357729614,0.636289290400498,0.191793017748191,1.10546771684404,0.0154109711305845,0.0241153663202523,0.412224355363588,2.55947560714331
"KO:K00038",0.941734430916591,0.999953272735984,0.013021391526224,0.0736663595642846,0.168499040648062,0.13543301396662,0.241682771004456,1.40893154129623
"KO:K00042",2.79550369519654e-07,4.2647940231837e-06,-0.752882201541017,-6.4710333898899,9.32914645512817e-05,0.000605776834867833,-0.619585241728572,-4.46524681894055
"KO:K00046",0.577636086588619,0.948813805510752,-0.0989641772478743,-0.562587671373402,0.394887725981913,0.242207340054869,-0.150709923663707,-0.86239431519992
"KO:K00050",0.220319540953148,0.539998874885166,-0.215786310445276,-1.2501238606505,0.00715921094015926,0.0139903049006604,-0.452851929274456,-2.87321482184723
"KO:K00052",0.945436665902895,0.999953272735984,0.0121927300567281,0.0689776242236497,0.235024652581415,0.17091289736714,0.209219396440816,1.21030931971479
"KO:K00053",0.49087102210534,0.881300056002064,0.122278707918814,0.696942825256994,0.0171948624990703,0.0260420575856581,0.406009917845544,2.5132045814316
"KO:K00054",0.975164328025873,0.999953272735984,0.00554651303260454,0.0313762984492579,0.511466493618484,0.286344544360534,0.116573894034706,0.663968450672439
"KO:K00055",0.00226647647923572,0.0118523567571369,0.505972340741168,3.31831519435129,0.0173571201895109,0.0262155817605972,0.405471815695069,2.50921784017332
"KO:K00057",0.00132181838635104,0.0074340293862268,0.528245642511,3.51930064547831,0.00279503535900893,0.00704878112699091,0.496893592876663,3.23901528282944
"KO:K00058",0.354345703281591,0.737823535849633,0.163893403138043,0.93982941595762,0.03683453563074,0.045404986727939,0.359401636460213,2.17865384416387
"KO:K00059",0.781251998290026,0.999953272735984,0.0494433450673538,0.280036300689749,0.128094307695108,0.11201923689264,0.266185073689553,1.56212873953841
"KO:K00060",0.793024043278429,0.999953272735984,0.0467218261875341,0.264587506662369,0.211155304936374,0.158388602630896,0.220031403126928,1.27595569303465
"KO:K00064",0.00412307457346595,0.0201983741746909,-0.479377659056068,-3.08995284058746,0.000649149045132358,0.0024465383468421,-0.555472209644357,-3.77882464078217
"KO:K00065",0.0249120557909952,0.0942716954981508,-0.384108725997506,-2.35337986664591,0.00512953369326974,0.0107911142722399,-0.469123557610244,-3.00494372313427
"KO:K00066",0.684094428470771,0.999953272735984,-0.0723959690622416,-0.410610900943173,0.85238098070472,0.387285817242776,-0.0331436667629015,-0.187591955612972
